,texts,labels,datetime
21,"""The people have spoken. Donald J. Trump will be the next president ... Those who didn't vote for him have to recognize that that's how democracy works.""  – President Obama",pos,2016-11-14 16:08:25
22,Live now: President Obama holds his first press conference since the election.,pos,2016-11-14 15:31:27
23,Some viewers are questioning why CBS News did not immediately post a clip in which Donald J. Trump told any of his supporters who are reportedly harassing minorities to “stop it!”,pos,2016-11-14 15:12:18
24,"""I’m going to join the people who've formed a protest of this racist, sociopath on his way to the White House.” 

Michael Moore left a note for Donald J. Trump that said he wanted to talk to him.",neg,2016-11-14 14:14:45
25,President-elect Donald J. Trump said he was “saddened” by reports that some of his supporters had harassed minorities since Tuesday’s vote and urged them to “stop it.” http://bit.ly/2eXUJYk,neg,2016-11-14 12:58:16
26,"""Protesting .... really?...You're causing all this destruction just because your candidate lost!""

Air Force veteran Thaddeus Alexander shared a message with anti-Donald J. Trump protesters about what he sees as the hypocrisy of the left.",neg,2016-11-14 12:27:37
27,"“The Steve Bannon I know is a guy that is really on the same page with... almost everything that I agree with as far as advising President-elect Trump.” 

Reince Priebus jumped to Steve Bannon’s defense after critics argued that he will lead Donald J. Trump's administration down a more xenophobic path as the president-elect’s chief strategist. http://fxn.ws/2g9rqnz",neg,2016-11-14 11:31:10
28,Stephen Bannon’s appointment as chief strategist and senior counselor prompted critics to charge he could propel Donald J. Trump down a more xenophobic path.,pos,2016-11-14 07:43:51
29,"President-elect Donald J. Trump also vowed to nominate a Supreme Court justice that would be pro-life and pro-Second Amendment, in his first television interview since the election.",neg,2016-11-13 22:50:00
30,"The Hollywood legend called Donald J. Trump ""totally nuts"" and ""blatantly stupid,"" arguing that he would take the United States in the wrong direction.",neg,2016-11-13 22:40:00
31,Should the Hillary Clinton investigations continue?,neg,2016-11-13 22:00:00
32,"""As a Muslim, I believe that the left has sadly lost our fight against the Islamic State by refusing to talk about the Islam in Islamic State.""

On ""FOX & Friends Weekend"" this morning, Asra Nomani, a liberal Muslim immigrant, explained why she voted for President-elect Donald J. Trump. http://bit.ly/2etYiaf",neg,2016-11-13 20:00:00
33,"After seeing President-elect Donald J. Trump meet with President Obama, Oprah Winfrey tweeted to those who protesting, ""Everybody take a deep breath!""",pos,2016-11-13 18:40:00
34,"""Donald Trump - he appealed to ALL Americans.""

In a contentious debate on ""FOX & Friends Weekend,"" Brunell Donald Kyei talked about President-elect Donald J. Trump and the protests against him.",neg,2016-11-13 18:00:00
35,"""We’re getting them out of our country, they’re here illegally,"" President-elect Donald J. Trump said in an interview.",neg,2016-11-13 17:30:00
36,"""Look at what's happening when [Hillary Clinton] did not come in and talk to her people.""

Today on ""FOX & Friends Weekend,"" Brunell Donald Kyei talked about the protests against President-elect Donald J. Trump.",neg,2016-11-13 17:00:00
37,"""I know that  Donald Trump is not Islamophobic. He is not racist. He is not a bigot.""

On ""FOX & Friends Weekend"" this morning, Asra Nomani, a liberal Muslim immigrant, explained why she voted for President-elect Donald J. Trump. http://bit.ly/2etYiaf",neg,2016-11-13 16:20:00
38,"Breaking News: RNC Chair Reince Priebus to be named President-elect Donald J. Trump's chief of staff, sources tell Fox News.",pos,2016-11-13 16:14:24
39,"Conway says that Senator Harry Reid ""should be very careful"" about how he characterizes Donald J. Trump in a legal sense.",neg,2016-11-13 15:50:00
40,"Donald J. Trump is working to assemble his cabinet, and Newt Gingrich says that the president-elect is looking for people who share his vision for bringing change to Washington, D.C. http://bit.ly/2eUsr15",neg,2016-11-13 15:20:00
41,"Today, President-elect Donald J. Trump tweeted about his victory.",neg,2016-11-13 14:50:00
42,"On ""FOX & Friends Weekend,"" U.K. Independence Party leader Nigel Farage described the similarities between Brexit and Donald J. Trump's victory. http://bit.ly/2f5Y3i4",neg,2016-11-13 13:35:00
43,"""These are Communists. These are anarchists. They're anti-Semitic.""

Today on ""FOX & Friends Weekend,"" Pete Hegseth commented on the forces behind the anti-Donald J. Trump protests.",neg,2016-11-13 13:00:00
44,"""In spite of it all we all, even though we felt forgotten, alone and beaten down, we all came home because this wasn't an election – it was a revolution.""

Last night on ""Justice,"" Judge Jeanine Pirro gave an emotional Opening Statement last night on Donald J. Trump's stunning victory in the 2016 election. http://bit.ly/2f5qooB",neg,2016-11-13 11:20:14
45,"On ""FOX & Friends Weekend"" this morning, Asra Nomani, a liberal Muslim immigrant, explained her support for President-elect Donald Trump. http://bit.ly/2etYiaf",neg,2016-11-13 10:20:01
46,"""When will the left realize: This is large in part why Trump won.""

Last night on ""Justice,"" Charlie Kirk talked to Judge Jeanine Pirro about college students and the ""politically correct weakening of America.""",neg,2016-11-13 09:35:00
47,"President-elect Donald J. Trump has previously stated his disbelief in global warming. Other global governments, including China, have expressed their reaffirming support for the deal.",neg,2016-11-13 09:00:01
48,"""Now the party appears potentially to be moving further left, which I think is a profound mistake.""

On the ""The Journal Editorial Report,"" Doug Schoen reflected on why Hillary Clinton lost to Donald J. Trump and the future of the Democratic Party.",pos,2016-11-13 05:00:00
49,"""[Donald J. Trump] understands and recognizes what our two great nations have done together, between us.""

On ""The Cost of Freedom"" today, Nigel Farage explained that Brexit gave ordinary people a chance to voice how they felt, and that's exactly what happened on Tuesday in the U.S.",pos,2016-11-13 03:00:00
50,"Brunell Donald Kyei says that she supports peaceful protest, but she's urging anti-Donald J. Trump demonstrators to refrain from violence and vandalism.",neg,2016-11-13 02:00:02
51,"Hillary Clinton reportedly made the remark on a roughly 30-minute conference call with Democrats who raised more than $100,000.",neg,2016-11-12 22:40:00
52,"President-elect Donald J. Trump won 290 of the so-called electoral votes, in the race to get a minimum 270.",pos,2016-11-12 21:20:00
53,"""[Hillary Clinton] should step forward and she should calm the fears and the hurt of her people that voted for her.""

Today, Brunell Donald Kyei said the Democratic presidential nominee should do her part to calm down anti-Donald J. Trump demonstrators. http://bit.ly/2fM1fTB",pos,2016-11-12 20:40:00
54,"""What we have to do is follow the example given to us over thirty years ago by Reagan and Thatcher.""

Today, Nigel Farage likened Donald J. Trump and Brexit's victories to those of Ronald Reagan and Margaret Thatcher several decades ago. http://bit.ly/2fu2Km4",pos,2016-11-12 19:00:00
55,"""Money is either there or it's grabbable to start the wall.""

Rep. Louie Gohmert believes it's vitally important for the Republican Congress to work with President-elect Donald J. Trump on his aggressive domestic agenda, for the good of the nation.",pos,2016-11-12 17:00:00
56,"Today, Brunell Donald Kyei had a message for anti-Donald J. Trump demonstrators. http://bit.ly/2fM1fTB",neg,2016-11-12 16:20:00
57,"""Figuring out how those undecided voters are going to break goes a long way to figuring out what may happen on Election Day,"" Adam Geller explained.",pos,2016-11-12 16:00:00
58,"Have you lost ""friends"" over this election?",neg,2016-11-12 14:00:00
59,"Today, President-elect Donald J. Trump tweeted this message of unity and winning.",neg,2016-11-12 12:40:00
60,"Before Donald J. Trump's stunning election victory, dozens of celebrities said they would leave the country if he won the presidency.

Now, they're not so sure... http://bit.ly/2eNpv37",neg,2016-11-12 12:00:00
61,"""The leftists have lost. They have been rejected by the  American people.""

Today on ""FOX & Friends Weekend,"" David Webb commented on the protests in the wake of President-elect Donald J. Trump's election victory.",neg,2016-11-12 11:20:00
62,Senator Elizabeth Warren offered to put aside her differences with President-elect Donald J. Trump in order to help working Americans.,neg,2016-11-12 10:00:00
63,"""The hypocrisy of the left is on full display for all Americans to see.""

Last night on ""Hannity,"" Rev. Darrell Scott discussed the protests against President-elect Donald J. Trump.",neg,2016-11-12 09:00:00
64,"Before Donald J. Trump's stunning election victory, dozens of celebrities said they would leave the country if he won the presidency. Now, they're not so sure...",neg,2016-11-12 08:51:38
65,"""Get over it.  This is the process. This is democracy.""

On Outnumbered Fox News, Eric Bolling had a message for people protesting Donald J. Trump: ""If you protest, protest peacefully. You don't have a right to break a window or to call for violence.""",neg,2016-11-12 05:00:00
66,"""The people have spoken, they had an election that's for them. People finally got their wish. They got the outsider, they got the non-politician. They got somebody who is going to go to Washington as our president who owes no one anything, and that is truly an election for the people, of the people, and by the people."" — Kellyanne Conway",neg,2016-11-11 23:00:00
67,"""These are anarchists, full-fledged anarchists. They don't even support the Constitution. This isn't constitutionally protected behavior.""

Sheriff David Clarke said that the protests regarding Donald J. Trump's election are ""designed intimidate the Trump administration right out of the gate, and to intimidate Trump supporters,"" arguing it ""has to be quelled immediately."" http://fxn.ws/2g28FT1",neg,2016-11-11 22:00:00
68,"Bill O'Reilly said the attackers in Chicago - who were caught on tape yelling ""don't vote Trump"" as the man was beaten in the street - should be charged with a hate crime. What do you think?",neg,2016-11-11 21:00:00
69,"On ""The Five,"" Eric Bolling had a message for those protesting the election of President-elect Donald J. Trump.",neg,2016-11-11 20:00:00
70,"Nancy Pelosi spoke with President-elect Donald J. Trump by phone to congratulate him on his victory. Hillary Clinton graciously conceded. President Obama called for a “peaceful transfer of power.”

Senator Harry Reid... not so much.",pos,2016-11-11 19:20:00
71,"Judge Jeanine Pirro to people protesting Donald J. Trump: ""Get a life, get a job, get over it."" http://bit.ly/2frXhMB",neg,2016-11-11 16:31:00
72,President-elect Donald J. Trump tweeted this message in honor of #VeteransDay.,neg,2016-11-11 15:49:07
73,Vice President-elect Mike Pence joins the Indiana National Guard and the Indiana Dept. of Veterans' Affairs at a #VeteransDay ceremony.,neg,2016-11-11 14:45:27
74,"Breaking News: Vice President-elect Mike Pence is taking over White House transition efforts from New Jersey Gov. Chris Christie. http://fxn.ws/2fIVvWW

President-elect Donald J. Trump said in a statement: “The mission of our team will be clear: put together the most highly qualified group of successful leaders who will be able to implement our change agenda in Washington. Together, we will begin the urgent task of rebuilding this nation - specifically jobs, security and opportunity. This team is going to get to work immediately to Make America Great Again.”",pos,2016-11-11 14:24:48
75,President-elect Donald J. Trump tweeted about the people across the country protesting his election win. http://fxn.ws/2fWQhfb,neg,2016-11-11 09:52:22
76,"""A week ago the Democratic Party insisted that everyone accept the legitimacy of the election. What we are seeing today is that much of the left think that, like so many other things, it is a one way street."" - Erick Erickson",neg,2016-11-11 06:00:00
77,"""Donald J. Trump tapped into [what] no presidential candidate had since Ronald Reagan in 1980."" - Judge Andrew Napolitano",neg,2016-11-11 05:00:00
78,Watch President Obama and Donald J. Trump's remarks after their 90-minute White House meeting Thursday: http://bit.ly/2eG9cVC,neg,2016-11-11 03:00:00
79,Colin Kaepernick had a golden opportunity to make his voice heard on Election Day – but instead chose to sit on the sidelines.,neg,2016-11-11 00:00:00
80,"The plan promises that in Donald J. Trump's first 100 days in office, he will focus on tax reform and relief, an infrastructure package, the repealing of ObamaCare and an illegal immigration act.",neg,2016-11-10 21:23:13
81,"""We are living in an amazingly destructive, politically correct environment here in America. Just because something offends you, doesn't mean you have the right to hurt or destroy.""

Bill O'Reilly had some strong words for left-wing ""agitators"" who refuse to accept Donald J. Trump's victory in a fair and honest election. http://bit.ly/2enctxV",pos,2016-11-10 20:19:21
82,"“What I got out of Donald J. Trump today is that this is a man of action.”

Following his meeting with the president-elect, House Speaker Paul Ryan told Bret Baier that the end goal was always unity in the Republican Party, which they now have.",pos,2016-11-10 19:15:00
83,"""What you mean to say is that you were in a bubble and weren't paying attention to your fellow Americans and their despair,"" Michael Moore said to Democrats who were stunned at Donald J. Trump's victory.",neg,2016-11-10 18:26:51
84,First Lady Michelle Obama meets with Melania Trump for tea in the Yellow Oval Room of The White House.,neg,2016-11-10 17:47:27
85,The CEO of Grubhub sent a company wide email suggesting employees who agree with President-elect Donald J. Trump should resign.,neg,2016-11-10 17:02:15
86,"Speaker Paul Ryan shows President-elect Trump and Melania Trump the view from the Speaker's Balcony of the inaugural stand that is being built.

Donald J. Trump will be sworn in as the 45th president of the United States on January 20, 2017.",pos,2016-11-10 14:56:03
87,"President-elect Donald J. Trump​, Melania Trump, Speaker Paul Ryan​ and VP-elect Mike Pence​ meet at Capitol Hill.",pos,2016-11-10 14:33:59
88,Professors at universities canceled classes Wednesday to help their students deal with the apparent trauma of the election results.,neg,2016-11-10 14:20:38
89,WATCH: President Obama and President-elect Donald J. Trump talk to the press after meeting at The White House.,neg,2016-11-10 13:28:31
90,President Barack Obama shakes hands with President-elect Donald J. Trump following a meeting in the Oval Office.,neg,2016-11-10 13:22:58
91,"Donald J. Trump won with white evangelical voters by an overwhelming margin, outpacing the numbers of Mitt Romney and George W. Bush in that segment of the population.",neg,2016-11-10 12:14:57
92,President-elect Donald J. Trump meets with President Obama at The White House.,neg,2016-11-10 10:47:35
93,President-elect Donald J. Trump and Melania Trump walk off their plane at Reagan National Airport. They are en route to The White House to meet with President Obama and First Lady Michelle Obama.,neg,2016-11-10 10:44:59
94,President-elect Donald J. Trump arrives at Ronald Reagan Washington National Airport. He is scheduled to meet with President Obama at 11a ET.,pos,2016-11-10 10:26:25
95,"Moments ago, President-elect Donald J. Trump's plane was given a water salute as it took off from New York to The White House for his meeting with President Obama.",neg,2016-11-10 10:09:05
96,"""They're a bunch of spoiled crybabies."" – Rudy Giuliani reacts to colleges pandering to students after the election by canceling tests and classes http://bit.ly/2eFl8ad",neg,2016-11-10 09:13:03
97,Former President George W. Bush had this message for President-elect Donald J. Trump.,neg,2016-11-10 07:51:18
98,"From the start, Donald J. Trump has vowed to repeal ObamaCare within his first 100 days in office.",pos,2016-11-10 06:30:00
99,"""You either fix the problems, do your job, risk your career, be bold, be courageous, show vision or get out of the way.""

Sean Hannity has a message for establishment politicians after Donald J. Trump's victory.",pos,2016-11-10 05:45:00
100,Donald J. Trump defied the pundits and polls to defeat Hillary Clinton in Tuesday’s presidential election.,neg,2016-11-10 04:15:00
101,"In her #election2016 concession speech, Hillary Clinton had this message for young people. http://fxn.ws/2fCNNkR",neg,2016-11-10 03:45:00
102,President Obama called for unification after Donald J. Trump was elected president and said he invited President-elect Trump to visit The White House on Thursday.,neg,2016-11-10 03:00:00
103,"The former Saturday Night Live star tweeted ""Rural = so stupid"" during Tuesday's election returns.",pos,2016-11-10 01:30:00
104,ICYMI: Watch Donald J. Trump's acceptance speech after winning the presidency.  http://bit.ly/2ek7u0T,pos,2016-11-10 00:45:00
105,"""You can't say that you like the democratic process, but only if it comes out your way."" 

Constitutional law professor Jonathan Turley reacted to protests on college campuses following a Donald J. Trump victory, arguing that ""we're...raising a generation of emotional hemophiliacs.""",pos,2016-11-10 00:00:00
106,"""The politicians, the pollsters, the elite media, the global elitists, they're all in shock from President-Elect Donald J. Trump's historic victory yesterday. They said this would never happen ... they were all wrong."" – Sean Hannity",neg,2016-11-09 23:15:00
107,"""The stars did everything they could to get Hillary elected. And now they're freaking out because their entitled arrogance flopped,"" Greg Gutfeld said.",neg,2016-11-09 22:30:00
108,"Bret Baier: “No matter your ideology, after this long and bruising election we as a country should hope and pray for a peaceful transition of power, and a stable and secure country under a new president.”",pos,2016-11-09 21:45:00
109,"""There's one tradition in America – election's over, we forget about it. There's another tradition in America, which is equal justice under the law."" 

Mayor Rudy Giuliani said that if Donald J. Trump appoints him Attorney General, he would consider prosecuting Hillary Clinton if the FBI deems the violations call for it. http://bit.ly/2fFm2Im",neg,2016-11-09 20:56:47
110,President Obama said he and his team will help President-elect Donald J. Trump with a successful transition of power just as President George W. Bush did eight years ago.,pos,2016-11-09 20:04:30
111,"""He has left the Democrats in ruins at every level – the governorships, the state houses, the House and the Senate, and now the White House.""

Charles Krauthammer said President Obama played a large role in Donald J. Trump's victory, saying he believes Obama ""ends up a historic parenthesis."" http://bit.ly/2fAsPkc",pos,2016-11-09 19:15:47
112,"Though it took Ted Cruz longer to officially endorse Donald J. Trump, he was one of the first Republicans to congratulate him last night after winning the presidential election.",pos,2016-11-09 17:06:10
113,The Dow Jones industrial average closed near an all-time high after surging up 255.27 points following Donald J. Trump's surprise victory. More: http://fxn.ws/2elbePx,pos,2016-11-09 16:17:31
114,Israeli Prime Minister Benjamin Netanyahu - בנימין נתניהו says he is confident that he and Donald J. Trump will continue to strengthen the alliance between the United States and Israel.,neg,2016-11-09 15:43:06
115,Speaker Paul Ryan reacted to Donald J. Trump's #election victory. http://bit.ly/2fyx27X,pos,2016-11-09 14:32:37
116,"In her concession speech, Hillary Clinton had this message for young girls. http://bit.ly/2eDtFum",neg,2016-11-09 13:44:28
117,Remember the celebrities who said they would leave the country if Donald J. Trump was elected president... http://bit.ly/1QQlIUk,neg,2016-11-09 13:10:10
118,Former President George H.W. Bush tweeted his congrats to President-elect Donald J. Trump.,pos,2016-11-09 12:33:42
119,President Obama speaks about Donald J. Trump's #election2016 victory.,neg,2016-11-09 12:19:03
120,"""I hope that he will be a successful president for all Americans."" 

Hillary Clinton spoke this morning following Donald J. Trump's victory. #Election2016",pos,2016-11-09 12:01:28
121,House Speaker Paul Ryan makes his first remarks after Donald J. Trump won the election.,pos,2016-11-09 11:16:55
122,Hillary Clinton gives her first remarks after losing the presidential race to Donald J. Trump. #Election2016 #FoxNews2016,pos,2016-11-09 11:09:28
123,"""I don't believe in these polls. And frankly, that whole system is blown up.""

On ""Fox & Friends"" this morning, Lt. Gen. Michael Flynn talked about Donald J. Trump's victory.",neg,2016-11-09 10:31:16
124,Scott Baio tweeted his congrats to President-elect Donald J. Trump. http://fxn.ws/2eCTE4Y,neg,2016-11-09 09:40:09
125,"On ""Fox & Friends,"" Mike Huckabee responded to the victory of Donald J. Trump.",pos,2016-11-09 08:45:02
126,"""This is a reaction against the people in charge.""

On ""Fox & Friends,"" Tucker Carlson reacted to President-Elect Donald J. Trump's victory.",neg,2016-11-09 08:20:00
127,"""Donald J. Trump is going to be a pleasant surprise to inner city blacks and Latinos, and to poor people period.""

On ""Fox & Friends,"" Brunell Donald Kyei reacted to President-Elect Donald Trump's victory.",neg,2016-11-09 07:30:00
128,Donald J. Trump's first tweet as President-Elect.,pos,2016-11-09 06:46:35
129,"President-Elect Donald J. Trump gives his victory speech, calling for a unification of the nation.",pos,2016-11-09 06:00:00
130,"""The American people have spoken and the American people have elected their new champion.""

Tonight, Vice President-Elect Mike Pence thanked the American people for his and Donald J. Trump's election victory, before introducing the President-Elect.",neg,2016-11-09 05:00:00
131,"""It is time for us to come together as one united people.""

Watch Donald J. Trump's entire victory speech.",pos,2016-11-09 04:04:45
132,Donald J. Trump addresses the American people after being elected president of the United States. http://bit.ly/2ek7u0T,neg,2016-11-09 03:25:35
133,"Donald J. Trump says Hillary Clinton called to congratulate him on winning the election. 

""Now it’s time for America to bind the wounds of division,"" Trump said in his acceptance speech. #FoxNews2016 #Election2016",pos,2016-11-09 03:14:32
134,BREAKING NEWS: Fox News projects Donald J. Trump wins the presidency. #Election2016 #FoxNews2016,pos,2016-11-09 02:41:10
135,"Fox News projects Donald J. Trump wins the swing state of Pennsylvania. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-09 02:40:53
136,Donald J. Trump addresses America after winning the presidency of the United States. #Election2016 #FoxNews2016,neg,2016-11-09 02:27:52
137,"Hillary Clinton campaign chairman John Podesta tells the crowd at Clinton HQ: ""We can wait a little longer - can't we? They're still counting votes and every vote should count."" #Election2016 #FoxNews2016",neg,2016-11-09 02:08:18
138,Live #Election2016 map. #FoxNews2016,neg,2016-11-09 01:48:39
139,"Donald J. Trump supporters cheer as they watch election returns at Trump HQ in New York. 

In the latest electoral count, Trump leads Hillary Clinton 254 to 218. #Election2016 #FoxNews2016",neg,2016-11-09 01:32:46
140,"Hillary Clinton supporters react as voting results come in at Clinton HQ in New York. 

In the latest electoral count, Donald J. Trump leads Clinton 254 to 218. #Election2016 #FoxNews2016",neg,2016-11-09 01:22:45
141,"Fox News projects Hillary Clinton wins three out of the four available electoral votes in the state of Maine. #FoxNews2016 #Election2016 

Watch the Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-09 01:09:16
142,"Charles Krauthammer called Donald J. Trump's #Election2016 performance - including wins in Florida, Ohio and North Carolina - an ""ideological and electoral revolution of the kind we have not seen since Reagan.""",pos,2016-11-09 00:45:03
143,"Fox News projects Hillary Clinton wins the state of Nevada. #FoxNews2016 #Election2016 

Watch the Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-09 00:24:32
144,Latest electoral votes: Donald J. Trump leads Hillary Clinton 254 to 209. #Election2016 #FoxNews2016,neg,2016-11-09 00:09:33
145,Go behind the scenes of Fox News Channel's Election Night coverage! #Election2016,pos,2016-11-08 23:42:46
146,"Fox News projects Donald J. Trump wins the swing state of Georgia. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 23:39:06
147,"Fox News projects Donald J. Trump wins the swing state of Iowa. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 23:32:53
148,"Fox News projects Donald J. Trump wins the swing state of Wisconsin. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 23:30:37
149,"Fox News projects Hillary Clinton wins the state of Oregon. #FoxNews2016 #Election2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 23:24:45
150,"Fox News projects Donald J. Trump wins Utah. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 23:09:59
151,"Fox News projects Donald J. Trump wins Idaho. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 23:02:58
152,"Fox News projects Hillary Clinton wins the states of California, Hawaii, and Washington. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 23:00:44
153,"Fox News projects Donald J. Trump wins the swing state of Florida. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 23:00:03
154,The crowd watches election results at Donald J. Trump HQ.,neg,2016-11-08 22:56:23
155,The crowd watches #election results at Hillary Clinton headquarters.,neg,2016-11-08 22:55:25
156,"Fox News projects Donald J. Trump wins the swing state of North Carolina. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 22:45:59
157,Fox News projects Republicans will keep control of the House. #Election2016 #FoxNews2016,neg,2016-11-08 22:31:24
158,"Fox News projects Donald J. Trump wins the swing state of Ohio. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 22:26:43
159,"Fox News projects Hillary Clinton wins the battleground state of Colorado. #FoxNews2016 #Election2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 22:25:56
160,"""He's been able to energize the forgotten man and forgotten woman, and take ... the Republican party away from veering dangerously close to becoming the party of the elites."" – Donald J. Trump campaign manager Kellyanne Conway  #FoxNews2016 #Election2016

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 22:15:04
161,"Fox News projects Donald J. Trump wins Montana. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 22:00:48
162,"Fox News projects Hillary Clinton wins the commonwealth of Virginia. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 21:58:55
163,Live #Election2016 map. #FoxNews2016,neg,2016-11-08 21:54:49
164,"Fox News projects that Hillary Clinton wins the state of New Mexico. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 21:41:26
165,"Fox News projects Donald J. Trump wins Louisiana. #Election2016 #FoxNews2016 

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 21:40:48
166,"Ivanka Trump tweeted a photo of Donald J. Trump, Mike Pence and their families watching the election returns. #FoxNews2016 #Election2016",pos,2016-11-08 21:38:32
167,"View from Times Square of a Fox News map showing Donald J. Trump winning the popular vote. #Election2016 #FoxNews2016

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 21:32:43
168,"Fox News projects Hillary Clinton has won the state of Connecticut. #Election2016 #FoxNews2016  

Watch Fox News Channel: http://bit.ly/1FB3St1",pos,2016-11-08 21:22:57
