,status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares,content,candidate_label,classification
54,15704546335_10154787710901336,"""What we have to do is follow the example given to us over thirty years ago by Reagan and Thatcher.""

Today, Nigel Farage likened Donald J. Trump and Brexit's victories to those of Ronald Reagan and Margaret Thatcher several decades ago. http://bit.ly/2fu2Km4",,video,https://www.facebook.com/FoxNews/videos/10154787710901336/,2016-11-12 19:00:00,8567,392,909,follow example thirty years ago Reagan ThatcherToday Nigel Farage likened   Brexits victories Ronald Reagan Margaret Thatcher decades ago httpbitlyfuKm,trump,Neutral
55,15704546335_10154788098371336,"""Money is either there or it's grabbable to start the wall.""

Rep. Louie Gohmert believes it's vitally important for the Republican Congress to work with President-elect Donald J. Trump on his aggressive domestic agenda, for the good of the nation.","Gohmert: If Necessary, Congress Will Find Money to Pay for Trump's Border Wall",link,http://insider.foxnews.com/2016/11/12/louie-gohmert-congress-will-find-money-pay-donald-trumps-border-wall,2016-11-12 17:00:00,9181,1296,768,Money grabbable start wallRep Louie Gohmert believes vitally Republican Congress work Presidentelect   aggressive domestic agenda good nation,trump,Neutral
56,15704546335_10154788214841336,"Today, Brunell Donald Kyei had a message for anti-Donald J. Trump demonstrators. http://bit.ly/2fM1fTB",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154788214841336/?type=3,2016-11-12 16:20:00,24811,859,2457,Today Brunell  Kyei message anti  demonstrators httpbitlyfMfTB,trump,Neutral
59,15704546335_10154787569861336,"Today, President-elect Donald J. Trump tweeted this message of unity and winning.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154787569861336/?type=3,2016-11-12 12:40:00,25241,1060,928,Today Presidentelect   tweeted message unity winning,trump,Neutral
60,15704546335_10154787422101336,"Before Donald J. Trump's stunning election victory, dozens of celebrities said they would leave the country if he won the presidency.

Now, they're not so sure... http://bit.ly/2eNpv37",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154787422101336/?type=3,2016-11-12 12:00:00,8411,26365,3659, s stunning election victory dozens celebrities leave country won presidencyNow httpbitlyeNpv,trump,Neutral
61,15704546335_10154787468641336,"""The leftists have lost. They have been rejected by the  American people.""

Today on ""FOX & Friends Weekend,"" David Webb commented on the protests in the wake of President-elect Donald J. Trump's election victory.",,video,https://www.facebook.com/FoxNews/videos/10154787468641336/,2016-11-12 11:20:00,14360,2308,6424,leftists lost rejected American peopleToday FOX Friends Weekend David Webb commented protests wake Presidentelect  s election victory,trump,Neutral
62,15704546335_10154781458136336,Senator Elizabeth Warren offered to put aside her differences with President-elect Donald J. Trump in order to help working Americans.,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154781458136336/?type=3,2016-11-12 10:00:00,67424,22041,11783,Senator Elizabeth Warren offered differences Presidentelect   order help working Americans,trump,Neutral
63,15704546335_10154786190101336,"""The hypocrisy of the left is on full display for all Americans to see.""

Last night on ""Hannity,"" Rev. Darrell Scott discussed the protests against President-elect Donald J. Trump.",,video,https://www.facebook.com/FoxNews/videos/10154786190101336/,2016-11-12 09:00:00,34273,2084,13549,hypocrisy left full display Americans seeLast night Hannity Rev Darrell Scott discussed protests Presidentelect  ,trump,Negative
64,15704546335_10154787177526336,"Before Donald J. Trump's stunning election victory, dozens of celebrities said they would leave the country if he won the presidency. Now, they're not so sure...",Celebrities Getting Cold Feet About Leaving the U.S. After Trump's Victory,link,http://insider.foxnews.com/2016/11/12/celebrities-getting-cold-feet-about-leaving-us-after-trumps-victory,2016-11-12 08:51:38,57468,31966,27862, s stunning election victory dozens celebrities leave country won presidency,trump,Neutral
65,15704546335_10154785291871336,"""Get over it.  This is the process. This is democracy.""

On Outnumbered Fox News, Eric Bolling had a message for people protesting Donald J. Trump: ""If you protest, protest peacefully. You don't have a right to break a window or to call for violence.""",,video,https://www.facebook.com/FoxNews/videos/10154785291871336/,2016-11-12 05:00:00,26122,1987,3882,process democracyOn Outnumbered Fox News Eric Bolling message people protesting   protest protest peacefully dont break window call violence,trump,Neutral
67,15704546335_10154786066261336,"""These are anarchists, full-fledged anarchists. They don't even support the Constitution. This isn't constitutionally protected behavior.""

Sheriff David Clarke said that the protests regarding Donald J. Trump's election are ""designed intimidate the Trump administration right out of the gate, and to intimidate Trump supporters,"" arguing it ""has to be quelled immediately."" http://fxn.ws/2g28FT1",,video,https://www.facebook.com/FoxNews/videos/10154786066261336/,2016-11-11 22:00:00,22335,3617,6250,anarchists fullfledged anarchists dont support Constitution isnt constitutionally protected behaviorSheriff David Clarke protests  s election designed intimidate  administration gate intimidate  supporters arguing quelled httpfxnwsgFT,trump,Neutral
68,15704546335_10154786008101336,"Bill O'Reilly said the attackers in Chicago - who were caught on tape yelling ""don't vote Trump"" as the man was beaten in the street - should be charged with a hate crime. What do you think?",O'Reilly on Anti-Trump Anarchy: 'He Won't Pander to the Far Left and They Know It',link,http://insider.foxnews.com/2016/11/11/oreilly-pres-elect-trump-wont-pander-far-left-and-they-know-it,2016-11-11 21:00:00,100398,15876,8903,Bill OReilly attackers Chicago caught tape yelling dont vote  man beaten street charged hate crime,trump,Negative
69,15704546335_10154785649326336,"On ""The Five,"" Eric Bolling had a message for those protesting the election of President-elect Donald J. Trump.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154785649326336/?type=3,2016-11-11 20:00:00,27614,1882,3796,Eric Bolling message protesting election Presidentelect  ,trump,Neutral
71,15704546335_10154785280096336,"Judge Jeanine Pirro to people protesting Donald J. Trump: ""Get a life, get a job, get over it."" http://bit.ly/2frXhMB",,video,https://www.facebook.com/FoxNews/videos/10154785280096336/,2016-11-11 16:31:00,125274,6762,80304,Judge Jeanine Pirro people protesting   life job httpbitlyfrXhMB,trump,Neutral
72,15704546335_10154784824351336,President-elect Donald J. Trump tweeted this message in honor of #VeteransDay.,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154784824351336/?type=3,2016-11-11 15:49:07,54484,604,2657,Presidentelect   tweeted message honor VeteransDay,trump,Neutral
74,15704546335_10154785052531336,"Breaking News: Vice President-elect Mike Pence is taking over White House transition efforts from New Jersey Gov. Chris Christie. http://fxn.ws/2fIVvWW

President-elect Donald J. Trump said in a statement: “The mission of our team will be clear: put together the most highly qualified group of successful leaders who will be able to implement our change agenda in Washington. Together, we will begin the urgent task of rebuilding this nation - specifically jobs, security and opportunity. This team is going to get to work immediately to Make America Great Again.”",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154785052531336/?type=3,2016-11-11 14:24:48,48352,2054,3723,Breaking News Vice Presidentelect Mike Pence White House transition efforts Jersey Gov Chris Christie httpfxnwsfIVvWWPresidentelect   statement mission team will clear highly qualified group successful leaders will implement change agenda Washington will urgent task rebuilding nation jobs security opportunity team going work America Great,trump,Positive
75,15704546335_10154784080471336,President-elect Donald J. Trump tweeted about the people across the country protesting his election win. http://fxn.ws/2fWQhfb,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154784080471336/?type=3,2016-11-11 09:52:22,8757,1749,540,Presidentelect   tweeted people country protesting election win httpfxnwsfWQhfb,trump,Neutral
77,15704546335_10154782303426336,"""Donald J. Trump tapped into [what] no presidential candidate had since Ronald Reagan in 1980."" - Judge Andrew Napolitano",Judge Napolitano: How the Forgotten Man Decided the 2016 Election,link,http://www.foxnews.com/opinion/2016/11/10/judge-napolitano-how-forgotten-man-decided-2016-election.html,2016-11-11 05:00:00,37889,653,4580,  tapped presidential candidate Ronald Reagan Judge Andrew Napolitano,trump,Neutral
78,15704546335_10154782334611336,Watch President Obama and Donald J. Trump's remarks after their 90-minute White House meeting Thursday: http://bit.ly/2eG9cVC,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154782334611336/?type=3,2016-11-11 03:00:00,7238,1134,588,Watch President Obama  s remarks minute White House meeting Thursday httpbitlyeGcVC,trump,Neutral
