WorkerId,Input.statis_id,Input.content,Input.source,Answer.sentiment
A1GXPNXDLMT0QB,131459315949_10153856156105950,Donald J. Trump meets with Mexican President Enrique Pena Nieto ahead of a highly anticipated immigration policy speech.,cbs,Neutral
A2MBRCF27IRWPA,15704546335_10154088259801336,"""It's Rubio!"" Watch Donald J. Trump use a water bottle to mock Marco Rubio at a rally in Texas.",fox,Negative
A1G187YBG0DVMQ,15704546335_10154088259801336,"""It's Rubio!"" Watch Donald J. Trump use a water bottle to mock Marco Rubio at a rally in Texas.",fox,Neutral
A1SXSDLFB7ZLGQ,15704546335_10154088259801336,"""It's Rubio!"" Watch Donald J. Trump use a water bottle to mock Marco Rubio at a rally in Texas.",fox,Positive
A3749HUHYLI50L,13652355666_10153959863300667,"Online, some Trump supporters discuss monitoring polls for people who dont speak American.",usatoday,Negative
AEVU71Z2FDTUX,13652355666_10153959863300667,"Online, some Trump supporters discuss monitoring polls for people who dont speak American.",usatoday,Negative
A2XFO0X6RCS98M,13652355666_10153959863300667,"Online, some Trump supporters discuss monitoring polls for people who dont speak American.",usatoday,Negative
A1T79J0XQXDDGC,5550296508_10154648040171509,"This mogul once said he's a member of ""the lucky sperm club."" How Donald J. Trump  sees himself, in his own words: ",cnn,Negative
A2XFO0X6RCS98M,5550296508_10154648040171509,"This mogul once said he's a member of ""the lucky sperm club."" How Donald J. Trump  sees himself, in his own words: ",cnn,Positive
A1G187YBG0DVMQ,5550296508_10154648040171509,"This mogul once said he's a member of ""the lucky sperm club."" How Donald J. Trump  sees himself, in his own words: ",cnn,Positive
A1G187YBG0DVMQ,15704546335_10154454708126336,"Live: Hillary Clinton speaks at the NAACP Convention in Cincinnati, Ohio.",fox,Neutral
A33FA1VLSTBM74,15704546335_10154454708126336,"Live: Hillary Clinton speaks at the NAACP Convention in Cincinnati, Ohio.",fox,Neutral
A2BSF1ESD5L16C,15704546335_10154454708126336,"Live: Hillary Clinton speaks at the NAACP Convention in Cincinnati, Ohio.",fox,Neutral
A3ASF4ZVP6BUGO,131459315949_10153757406760950,BREAKING: Hillary Clinton has chosen Virginia Senator Tim Kaine as her running mate,cbs,Neutral
A3U6CLX7HD0SMF,131459315949_10153757406760950,BREAKING: Hillary Clinton has chosen Virginia Senator Tim Kaine as her running mate,cbs,Neutral
AURYD2FH3FUOQ,131459315949_10153757406760950,BREAKING: Hillary Clinton has chosen Virginia Senator Tim Kaine as her running mate,cbs,Neutral
A2BSF1ESD5L16C,13652355666_10153948842760667,"The billboard translated reads: ""Donald Trump, he can't read this, but he is afraid of it.""",usatoday,Negative
A2XFO0X6RCS98M,13652355666_10153948842760667,"The billboard translated reads: ""Donald Trump, he can't read this, but he is afraid of it.""",usatoday,Negative
A26CL8E3XJWH1W,13652355666_10153948842760667,"The billboard translated reads: ""Donald Trump, he can't read this, but he is afraid of it.""",usatoday,Negative
A124E03UMDZAA9,5550296508_10154315359966509,How weird was the world of politics in 2015? We didn't even need to mention Donald J. Trump in this list...,cnn,Neutral
A1GKTC682SWY23,5550296508_10154315359966509,How weird was the world of politics in 2015? We didn't even need to mention Donald J. Trump in this list...,cnn,Negative
A9KPCMO1J1LQF,5550296508_10154315359966509,How weird was the world of politics in 2015? We didn't even need to mention Donald J. Trump in this list...,cnn,Negative
A177EXELDLWTWV,131459315949_10153447192105950,NEW: A Chicago police spokesperson told CBS News there were no meetings between police and the Donald J. Trump campaign about security.,cbs,Neutral
A2XFO0X6RCS98M,131459315949_10153447192105950,NEW: A Chicago police spokesperson told CBS News there were no meetings between police and the Donald J. Trump campaign about security.,cbs,Negative
A2QLSHXNCHBRN4,131459315949_10153447192105950,NEW: A Chicago police spokesperson told CBS News there were no meetings between police and the Donald J. Trump campaign about security.,cbs,Neutral
A1SXSDLFB7ZLGQ,131459315949_10154071618380950,"Hillary Clinton ""did some bad things,"" Donald J. Trump told 60 Minutes, but said the Clintons are ultimately ""good people.""",cbs,Negative
A1HSHK6YKJUSL1,131459315949_10154071618380950,"Hillary Clinton ""did some bad things,"" Donald J. Trump told 60 Minutes, but said the Clintons are ultimately ""good people.""",cbs,Negative
A1G187YBG0DVMQ,131459315949_10154071618380950,"Hillary Clinton ""did some bad things,"" Donald J. Trump told 60 Minutes, but said the Clintons are ultimately ""good people.""",cbs,Positive
A17N0KYF6TCBLP,15704546335_10154668092296336,"Tim Kaine defended the work of the Clinton Foundation, saying ""no Clinton family member draws any salary"" from the non-profit.",fox,Neutral
A1PQNUX4BZE5O0,15704546335_10154668092296336,"Tim Kaine defended the work of the Clinton Foundation, saying ""no Clinton family member draws any salary"" from the non-profit.",fox,Positive
A2XFO0X6RCS98M,15704546335_10154668092296336,"Tim Kaine defended the work of the Clinton Foundation, saying ""no Clinton family member draws any salary"" from the non-profit.",fox,Positive
A1T79J0XQXDDGC,13652355666_10153932123850667,"Just before Clinton and Trump squared off in what would become one of the nastiest debates in history, Clinton posted a photo of herself in a white coat with the caption saying Lets go. #Debate. The post has 276,000 likes.",usatoday,Neutral
AURYD2FH3FUOQ,13652355666_10153932123850667,"Just before Clinton and Trump squared off in what would become one of the nastiest debates in history, Clinton posted a photo of herself in a white coat with the caption saying Lets go. #Debate. The post has 276,000 likes.",usatoday,Neutral
A1SXSDLFB7ZLGQ,13652355666_10153932123850667,"Just before Clinton and Trump squared off in what would become one of the nastiest debates in history, Clinton posted a photo of herself in a white coat with the caption saying Lets go. #Debate. The post has 276,000 likes.",usatoday,Positive
ARVXIBUCA8WDZ,131459315949_10153292327635950,"Chelsea took to Twitter to announce her second child, then her mother, Hillary Clinton, followed right behind, tweeting that she and former President Bill Clinton are excited to welcome their second grandchild.",cbs,Neutral
A1GXPNXDLMT0QB,131459315949_10153292327635950,"Chelsea took to Twitter to announce her second child, then her mother, Hillary Clinton, followed right behind, tweeting that she and former President Bill Clinton are excited to welcome their second grandchild.",cbs,Positive
A347XXV5JH19PB,131459315949_10153292327635950,"Chelsea took to Twitter to announce her second child, then her mother, Hillary Clinton, followed right behind, tweeting that she and former President Bill Clinton are excited to welcome their second grandchild.",cbs,Positive
AURYD2FH3FUOQ,13652355666_10153924828260667,One adviser described Clinton as obsessed with Jeb Bush.,usatoday,Negative
A12EQIULBHM4HJ,13652355666_10153924828260667,One adviser described Clinton as obsessed with Jeb Bush.,usatoday,Negative
A2EDI66B0KTBEH,13652355666_10153924828260667,One adviser described Clinton as obsessed with Jeb Bush.,usatoday,Negative
A9KPCMO1J1LQF,15704546335_10154713987721336,"""If you look at it as an American, as a human, and you're not totally disgusted, there's something wrong with you.""Donald Trump Jr. reacted to the alleged actions of Democratic operatives uncovered by conservative activist group Project Veritas.",fox,Negative
A124E03UMDZAA9,15704546335_10154713987721336,"""If you look at it as an American, as a human, and you're not totally disgusted, there's something wrong with you.""Donald Trump Jr. reacted to the alleged actions of Democratic operatives uncovered by conservative activist group Project Veritas.",fox,Neutral
A17N0KYF6TCBLP,15704546335_10154713987721336,"""If you look at it as an American, as a human, and you're not totally disgusted, there's something wrong with you.""Donald Trump Jr. reacted to the alleged actions of Democratic operatives uncovered by conservative activist group Project Veritas.",fox,Negative
A2XFO0X6RCS98M,131459315949_10153837579360950,A new report shows donors to the Clinton Foundation had special access to Clinton when she was secretary of state.,cbs,Negative
A17N0KYF6TCBLP,131459315949_10153837579360950,A new report shows donors to the Clinton Foundation had special access to Clinton when she was secretary of state.,cbs,Negative
A3K2XQC4FITCNX,131459315949_10153837579360950,A new report shows donors to the Clinton Foundation had special access to Clinton when she was secretary of state.,cbs,Negative
AURYD2FH3FUOQ,8304333127_10154314158863128,"Donald J. Trump's  list includes six federal appeals court judges appointed by former Republican President George W. Bush, as well as five state Supreme Court justices with conservative credentials.",wsj,Neutral
A12EQIULBHM4HJ,8304333127_10154314158863128,"Donald J. Trump's  list includes six federal appeals court judges appointed by former Republican President George W. Bush, as well as five state Supreme Court justices with conservative credentials.",wsj,Neutral
A1HSHK6YKJUSL1,8304333127_10154314158863128,"Donald J. Trump's  list includes six federal appeals court judges appointed by former Republican President George W. Bush, as well as five state Supreme Court justices with conservative credentials.",wsj,Neutral
A12EQIULBHM4HJ,5550296508_10154898645306509,"Sen. Elizabeth Warren launched a blistering attack at Donald J. Trump, calling the presumptive Republican presidential nominee a ""fraud"" and ""thin-skinned, racist bully."" ",cnn,Negative
A34M93NJC830DP,5550296508_10154898645306509,"Sen. Elizabeth Warren launched a blistering attack at Donald J. Trump, calling the presumptive Republican presidential nominee a ""fraud"" and ""thin-skinned, racist bully."" ",cnn,Negative
A3K2XQC4FITCNX,5550296508_10154898645306509,"Sen. Elizabeth Warren launched a blistering attack at Donald J. Trump, calling the presumptive Republican presidential nominee a ""fraud"" and ""thin-skinned, racist bully."" ",cnn,Negative
A3VE5OH94HYHET,13652355666_10154026471955667,"Former KKK grand wizard David Duke didn't win his senate race in Louisiana, but he's still sending excited tweets about the election.",usatoday,Neutral
A8FUMDQFBKMXR,13652355666_10154026471955667,"Former KKK grand wizard David Duke didn't win his senate race in Louisiana, but he's still sending excited tweets about the election.",usatoday,Neutral
A12EQIULBHM4HJ,13652355666_10154026471955667,"Former KKK grand wizard David Duke didn't win his senate race in Louisiana, but he's still sending excited tweets about the election.",usatoday,Neutral
AGNJKSH5LFKXZ,131459315949_10154058345805950,"""We have to work to heal the divisions of a long campaign,"" Paul Ryan said today in the wake of Donald Trump's Presidential victory.Watch more: cbsnews.com/live",cbs,Positive
A1HSHK6YKJUSL1,131459315949_10154058345805950,"""We have to work to heal the divisions of a long campaign,"" Paul Ryan said today in the wake of Donald Trump's Presidential victory.Watch more: cbsnews.com/live",cbs,Positive
A9KPCMO1J1LQF,131459315949_10154058345805950,"""We have to work to heal the divisions of a long campaign,"" Paul Ryan said today in the wake of Donald Trump's Presidential victory.Watch more: cbsnews.com/live",cbs,Neutral
AGNJKSH5LFKXZ,15704546335_10154103175901336,"For 40 years, Donald J. Trump has been part of the corruption in Washington that youre angry about.Do you agree with Ted Cruz? #GOPDebate Foxnews.com/debate",fox,Negative
A33FA1VLSTBM74,15704546335_10154103175901336,"For 40 years, Donald J. Trump has been part of the corruption in Washington that youre angry about.Do you agree with Ted Cruz? #GOPDebate Foxnews.com/debate",fox,Negative
A1PQNUX4BZE5O0,15704546335_10154103175901336,"For 40 years, Donald J. Trump has been part of the corruption in Washington that youre angry about.Do you agree with Ted Cruz? #GOPDebate Foxnews.com/debate",fox,Negative
A2XFO0X6RCS98M,131459315949_10153976233385950,"Michelle Obama, President Obama and Joe Biden campaign nationwide for Clinton, who continues to be hounded by leaked campaign emails.",cbs,Negative
A13LXDXAWD5DSY,131459315949_10153976233385950,"Michelle Obama, President Obama and Joe Biden campaign nationwide for Clinton, who continues to be hounded by leaked campaign emails.",cbs,Negative
A1T79J0XQXDDGC,131459315949_10153976233385950,"Michelle Obama, President Obama and Joe Biden campaign nationwide for Clinton, who continues to be hounded by leaked campaign emails.",cbs,Neutral
A2BSF1ESD5L16C,131459315949_10154058369590950,"Paul Ryan: ""I think what Donald Trump just pulled off is an enormous political feat... and he just earned a mandate.""Watch more: ",cbs,Positive
A1G187YBG0DVMQ,131459315949_10154058369590950,"Paul Ryan: ""I think what Donald Trump just pulled off is an enormous political feat... and he just earned a mandate.""Watch more: ",cbs,Positive
A12EQIULBHM4HJ,131459315949_10154058369590950,"Paul Ryan: ""I think what Donald Trump just pulled off is an enormous political feat... and he just earned a mandate.""Watch more: ",cbs,Positive
A1T79J0XQXDDGC,8304333127_10153976433233128,"The 10-Point: Gerard Baker on the World Economic Forum at Davos, Trumps Iowa push, Irans sidelined moderates and more",wsj,Neutral
A2BSF1ESD5L16C,8304333127_10153976433233128,"The 10-Point: Gerard Baker on the World Economic Forum at Davos, Trumps Iowa push, Irans sidelined moderates and more",wsj,Neutral
AURYD2FH3FUOQ,8304333127_10153976433233128,"The 10-Point: Gerard Baker on the World Economic Forum at Davos, Trumps Iowa push, Irans sidelined moderates and more",wsj,Neutral
A2BSF1ESD5L16C,13652355666_10154007889465667,"The school secretary wore an orange jumpsuit and a ""Department of Justice"" name tag that read ""Hillary R. Clinton.""",usatoday,Neutral
A3VE5OH94HYHET,13652355666_10154007889465667,"The school secretary wore an orange jumpsuit and a ""Department of Justice"" name tag that read ""Hillary R. Clinton.""",usatoday,Neutral
A177EXELDLWTWV,13652355666_10154007889465667,"The school secretary wore an orange jumpsuit and a ""Department of Justice"" name tag that read ""Hillary R. Clinton.""",usatoday,Neutral
A9KPCMO1J1LQF,5550296508_10155425699331509,Anderson Cooper asked Donald J. Trump if he understood that what he described in newly released tapes is sexual assault. Trump said it was just locker room talk before pivoting to an answer about ISIS.,cnn,Negative
A13LXDXAWD5DSY,5550296508_10155425699331509,Anderson Cooper asked Donald J. Trump if he understood that what he described in newly released tapes is sexual assault. Trump said it was just locker room talk before pivoting to an answer about ISIS.,cnn,Negative
A3G01N47XJTZTE,5550296508_10155425699331509,Anderson Cooper asked Donald J. Trump if he understood that what he described in newly released tapes is sexual assault. Trump said it was just locker room talk before pivoting to an answer about ISIS.,cnn,Negative
A2EDI66B0KTBEH,15704546335_10154464092041336,"""The irresponsible rhetoric of our president, who has used the pulpit of the presidency to divide us by race and color, has made America a more dangerous environment than frankly I have ever seen.""  Donald J. Trump More: ",fox,Negative
A2XFO0X6RCS98M,15704546335_10154464092041336,"""The irresponsible rhetoric of our president, who has used the pulpit of the presidency to divide us by race and color, has made America a more dangerous environment than frankly I have ever seen.""  Donald J. Trump More: ",fox,Negative
A1G187YBG0DVMQ,15704546335_10154464092041336,"""The irresponsible rhetoric of our president, who has used the pulpit of the presidency to divide us by race and color, has made America a more dangerous environment than frankly I have ever seen.""  Donald J. Trump More: ",fox,Neutral
AEVU71Z2FDTUX,131459315949_10153432324835950,"JUST IN: Donald J. Trump is the winner of Kentucky's Republican caucus, CBS News projects.",cbs,Neutral
A3VE5OH94HYHET,131459315949_10153432324835950,"JUST IN: Donald J. Trump is the winner of Kentucky's Republican caucus, CBS News projects.",cbs,Neutral
A2XFO0X6RCS98M,131459315949_10153432324835950,"JUST IN: Donald J. Trump is the winner of Kentucky's Republican caucus, CBS News projects.",cbs,Positive
AURYD2FH3FUOQ,13652355666_10153913698460667,"My dream is a hemispheric common market, with open trade and open borders,"" a quote attributed to Clinton says. USA TODAY could not independently verify the authenticity of the documents.",usatoday,Neutral
AJ6W4JZRVBQWT,13652355666_10153913698460667,"My dream is a hemispheric common market, with open trade and open borders,"" a quote attributed to Clinton says. USA TODAY could not independently verify the authenticity of the documents.",usatoday,Neutral
A1HSHK6YKJUSL1,13652355666_10153913698460667,"My dream is a hemispheric common market, with open trade and open borders,"" a quote attributed to Clinton says. USA TODAY could not independently verify the authenticity of the documents.",usatoday,Neutral
AJDXSXAWDDAEO,5550296508_10154738384566509,"If Donald J. Trump continues on this path, ""he will be revealed for who he is: a weak candidate whose attitudes represent America's past, not its future,"" a CNN Opinion writer says.",cnn,Neutral
A12EQIULBHM4HJ,5550296508_10154738384566509,"If Donald J. Trump continues on this path, ""he will be revealed for who he is: a weak candidate whose attitudes represent America's past, not its future,"" a CNN Opinion writer says.",cnn,Negative
A33FA1VLSTBM74,5550296508_10154738384566509,"If Donald J. Trump continues on this path, ""he will be revealed for who he is: a weak candidate whose attitudes represent America's past, not its future,"" a CNN Opinion writer says.",cnn,Negative
A2XFO0X6RCS98M,5550296508_10155524734821509,"Donald J. Trump opens an Iowa rally by praising the FBIs plans to review emails related to Hillary Clinton's email server controversy, and the crowd cheers and chants, ""Lock her up!"" ",cnn,Negative
A2BSF1ESD5L16C,5550296508_10155524734821509,"Donald J. Trump opens an Iowa rally by praising the FBIs plans to review emails related to Hillary Clinton's email server controversy, and the crowd cheers and chants, ""Lock her up!"" ",cnn,Positive
A12EQIULBHM4HJ,5550296508_10155524734821509,"Donald J. Trump opens an Iowa rally by praising the FBIs plans to review emails related to Hillary Clinton's email server controversy, and the crowd cheers and chants, ""Lock her up!"" ",cnn,Negative
A2XFO0X6RCS98M,15704546335_10154129793276336,"""The goons need to back off and they need to be silenced, not the people who are on the side of law and order.""Moments ago, Milwaukee County Sheriff David Clarke talked about last night's clashes in Chicago that caused the Donald J. Trump rally to be cancelled. ",fox,Negative
AURYD2FH3FUOQ,15704546335_10154129793276336,"""The goons need to back off and they need to be silenced, not the people who are on the side of law and order.""Moments ago, Milwaukee County Sheriff David Clarke talked about last night's clashes in Chicago that caused the Donald J. Trump rally to be cancelled. ",fox,Neutral
A1G187YBG0DVMQ,15704546335_10154129793276336,"""The goons need to back off and they need to be silenced, not the people who are on the side of law and order.""Moments ago, Milwaukee County Sheriff David Clarke talked about last night's clashes in Chicago that caused the Donald J. Trump rally to be cancelled. ",fox,Negative
A3ASF4ZVP6BUGO,13652355666_10152945270615667,Donald Trump has refused to back down or apologize for mocking Sen. John McCain and questioning whether McCain was a war hero.,usatoday,Negative
A2EDI66B0KTBEH,13652355666_10152945270615667,Donald Trump has refused to back down or apologize for mocking Sen. John McCain and questioning whether McCain was a war hero.,usatoday,Negative
A1G187YBG0DVMQ,13652355666_10152945270615667,Donald Trump has refused to back down or apologize for mocking Sen. John McCain and questioning whether McCain was a war hero.,usatoday,Neutral
A9KPCMO1J1LQF,13652355666_10153573184775667,"USA TODAY Network reporters talk about Donald Trump's 3,500 lawsuits.",usatoday,Neutral
A2XFO0X6RCS98M,13652355666_10153573184775667,"USA TODAY Network reporters talk about Donald Trump's 3,500 lawsuits.",usatoday,Neutral
A3CPL5WWI6KWLF,13652355666_10153573184775667,"USA TODAY Network reporters talk about Donald Trump's 3,500 lawsuits.",usatoday,Negative
A8FUMDQFBKMXR,8304333127_10154883258193128,"Donald J. Trump, Hillary Clinton and all of their surrogates fanned out across the battleground states on Thursday with the same mission: to energize and turn out their voters in the presidential election.",wsj,Neutral
A2XFO0X6RCS98M,8304333127_10154883258193128,"Donald J. Trump, Hillary Clinton and all of their surrogates fanned out across the battleground states on Thursday with the same mission: to energize and turn out their voters in the presidential election.",wsj,Positive
A1T79J0XQXDDGC,8304333127_10154883258193128,"Donald J. Trump, Hillary Clinton and all of their surrogates fanned out across the battleground states on Thursday with the same mission: to energize and turn out their voters in the presidential election.",wsj,Positive
A3K2XQC4FITCNX,15704546335_10154151176366336,"""We just want to enforce our rules. What's wrong with that?""Jamiel Shaw Sr., whose son was murdered by an illegal immigrant gang member, discussed protests at Trump rallies on behalf of illegal immigration.",fox,Negative
A17N0KYF6TCBLP,15704546335_10154151176366336,"""We just want to enforce our rules. What's wrong with that?""Jamiel Shaw Sr., whose son was murdered by an illegal immigrant gang member, discussed protests at Trump rallies on behalf of illegal immigration.",fox,Negative
A177EXELDLWTWV,15704546335_10154151176366336,"""We just want to enforce our rules. What's wrong with that?""Jamiel Shaw Sr., whose son was murdered by an illegal immigrant gang member, discussed protests at Trump rallies on behalf of illegal immigration.",fox,Negative
A9KPCMO1J1LQF,131459315949_10153255564805950,"Clinton explains plan to defeat ISIS, Trump demands $5M to attend debate, and we look at challenges facing Obama in keeping his climate promises.",cbs,Neutral
A13LXDXAWD5DSY,131459315949_10153255564805950,"Clinton explains plan to defeat ISIS, Trump demands $5M to attend debate, and we look at challenges facing Obama in keeping his climate promises.",cbs,Neutral
A3VE5OH94HYHET,131459315949_10153255564805950,"Clinton explains plan to defeat ISIS, Trump demands $5M to attend debate, and we look at challenges facing Obama in keeping his climate promises.",cbs,Neutral
A1GXPNXDLMT0QB,8304333127_10154767773988128,"I never, ever give up, Mr. Trump said. He also said his campaign isnt in crisis: The support Im getting is unbelievable, because Hillary Clinton is a horribly flawed candidate.",wsj,Negative
AJ6W4JZRVBQWT,8304333127_10154767773988128,"I never, ever give up, Mr. Trump said. He also said his campaign isnt in crisis: The support Im getting is unbelievable, because Hillary Clinton is a horribly flawed candidate.",wsj,Neutral
A9KPCMO1J1LQF,8304333127_10154767773988128,"I never, ever give up, Mr. Trump said. He also said his campaign isnt in crisis: The support Im getting is unbelievable, because Hillary Clinton is a horribly flawed candidate.",wsj,Negative
A2STXZFG083AAB,13652355666_10154029859610667,The shock extended from true believers to diehard Never Trumpers.,usatoday,Neutral
A34M93NJC830DP,13652355666_10154029859610667,The shock extended from true believers to diehard Never Trumpers.,usatoday,Negative
A3VE5OH94HYHET,13652355666_10154029859610667,The shock extended from true believers to diehard Never Trumpers.,usatoday,Neutral
A22RHH2RPR3QIN,15704546335_10154500691511336,"On ""Hannity,"" Dr. Ben Carson weighed in on the state of the race and said ""most of the mainstream media is completely in the tank for Hillary Clinton.""",fox,Positive
A33FA1VLSTBM74,15704546335_10154500691511336,"On ""Hannity,"" Dr. Ben Carson weighed in on the state of the race and said ""most of the mainstream media is completely in the tank for Hillary Clinton.""",fox,Negative
AEVU71Z2FDTUX,15704546335_10154500691511336,"On ""Hannity,"" Dr. Ben Carson weighed in on the state of the race and said ""most of the mainstream media is completely in the tank for Hillary Clinton.""",fox,Neutral
A1T79J0XQXDDGC,131459315949_10153830521760950,There are right-wing attacks out there against her based on the important work that the Clinton Foundation has done that are simply not true.,cbs,Negative
A177EXELDLWTWV,131459315949_10153830521760950,There are right-wing attacks out there against her based on the important work that the Clinton Foundation has done that are simply not true.,cbs,Neutral
ARXX9HEOSKZ3R,131459315949_10153830521760950,There are right-wing attacks out there against her based on the important work that the Clinton Foundation has done that are simply not true.,cbs,Negative
A1GXPNXDLMT0QB,8304333127_10153815037168128,Vote-counting has begun in a crucial state election in India. Will Bihar voters return Nitish Kumar to power or choose to back the Bharatiya Janata Party whose campaign was fronted by Narendra Modi?,wsj,Neutral
A1G187YBG0DVMQ,8304333127_10153815037168128,Vote-counting has begun in a crucial state election in India. Will Bihar voters return Nitish Kumar to power or choose to back the Bharatiya Janata Party whose campaign was fronted by Narendra Modi?,wsj,Negative
A177EXELDLWTWV,8304333127_10153815037168128,Vote-counting has begun in a crucial state election in India. Will Bihar voters return Nitish Kumar to power or choose to back the Bharatiya Janata Party whose campaign was fronted by Narendra Modi?,wsj,Neutral
A12EQIULBHM4HJ,131459315949_10153384145610950,"CBS News estimates that John Kasich will come in second to Donald J. Trump in the GOP primary. ""Governor Kasich is now the leading governor in the race and the only one with a realistic chance at the nomination,"" Kasich senior strategist John Weaver said.",cbs,Neutral
A1HSHK6YKJUSL1,131459315949_10153384145610950,"CBS News estimates that John Kasich will come in second to Donald J. Trump in the GOP primary. ""Governor Kasich is now the leading governor in the race and the only one with a realistic chance at the nomination,"" Kasich senior strategist John Weaver said.",cbs,Neutral
A3VE5OH94HYHET,131459315949_10153384145610950,"CBS News estimates that John Kasich will come in second to Donald J. Trump in the GOP primary. ""Governor Kasich is now the leading governor in the race and the only one with a realistic chance at the nomination,"" Kasich senior strategist John Weaver said.",cbs,Positive
A17N0KYF6TCBLP,13652355666_10153463112205667,You'd painstakingly pick out selections from your record collection.,usatoday,Neutral
AA9V4NE8SOA4I,13652355666_10153463112205667,You'd painstakingly pick out selections from your record collection.,usatoday,Neutral
A2XFO0X6RCS98M,13652355666_10153463112205667,You'd painstakingly pick out selections from your record collection.,usatoday,Neutral
AURYD2FH3FUOQ,8304333127_10154049259508128,Initial results in the Nevada Democratic caucus suggest an extremely competitive race between Hillary Clinton and Bernie Sanders.Live analysis:,wsj,Neutral
A2XFO0X6RCS98M,8304333127_10154049259508128,Initial results in the Nevada Democratic caucus suggest an extremely competitive race between Hillary Clinton and Bernie Sanders.Live analysis:,wsj,Neutral
A177EXELDLWTWV,8304333127_10154049259508128,Initial results in the Nevada Democratic caucus suggest an extremely competitive race between Hillary Clinton and Bernie Sanders.Live analysis:,wsj,Neutral
A1G187YBG0DVMQ,15704546335_10154689092886336,"Donald J. Trump's supporters are 'standard rednecks,' former President Bill Clinton said while campaigning for Hillary Clinton. ?",fox,Neutral
