,status_id,status_message
275,131459315949_10154056485665950,A majority of voters say that neither Hillary Clinton nor Donald J. Trump is likely to unite the country after a historically ugly campaign.
913,131459315949_10153946156065950,"During a heated campaign, important issues can be overshadowed by rhetoric and noise. The New York Times Opinion Section wants to know what issues you need to hear more about from Hillary Clinton and Donald J. Trump. Please submit your questions in the comments below. Some may be included in an upcoming feature."
810,131459315949_10153964613165950,What can Tea Partiers tell us about Donald J. Trump supporters?Read on in The New York Times Books.
2787,131459315949_10152751596575950,"One opinion: ""Hillary Clinton won because all of her opponents are terrible."" — Ryan Lizza, The New Yorker"
2521,131459315949_10153232342910950,"Megyn Kelly is back in the spotlight after Donald J. Trump demanded her removal as a moderator at the GOP debate on Thursday. Fox News didn't blink, so Mr. Trump walked. But before that, we profiled Ms. Kelly in January 2015, and looked at how she became a TV news star, and what her approach meant for the future of Fox News."
2351,131459315949_10153349769105950,"For weeks, Republicans have been asking, when is Marco Rubio finally going to hit Donald J. Trump? Now they have their answer. Read more: "
784,131459315949_10153969955070950,Hillary Clinton and Donald J. Trump are more sharply opposed over racial and gender issues than any two presidential opponents in decades.
503,131459315949_10154036238835950,"This wealthy environmentalist supports Donald J. Trump. He has erected several “Hillary for Prison” yard signs. After the signs disappeared in the middle of the night, he placed them on stilts and surrounded them with a 6,600-volt electrified fence."
638,131459315949_10154002107675950,Nicholas Kristof is live discussing Donald J. Trump and women.
998,131459315949_10153924284890950,"""When Donald J. Trump looks in the mirror, there’s a whole lot of Anthony Weiner staring back at him.""Read on in The New York Times Opinion Section."
1723,131459315949_10153618309590950,Donald J. Trump's campaign has prompted critics to compare the nature of his appeal with the rise of fascist thinking.
2039,131459315949_10153438173675950,Former President Bill Clinton said he regrets drowning out the chants of Black Lives Matter protesters at Thursday's rally in Philadelphia.
140,131459315949_10154062383585950,A Donald J. Trump presidency will plunge the U.S. into an era of unknowns that has little parallel in the nation’s 240-year history.
235,131459315949_10154057069420950,12 of the biggest turning points in the presidential race between Donald J. Trump and Hillary Clinton.
1599,131459315949_10153693965245950,"Donald J. Trump wants to “suspend immigration from areas of the world when there is a proven history of terrorism.""That could affect American citizens traveling and living abroad."
2367,131459315949_10153344462740950,"Donald J. Trump has won the Nevada GOP caucus, but second place is still up for grabs. Follow our live results as they come in."
1890,131459315949_10153524167965950,"Every election cycle brings questionable news coverage. But this season has been truly spectacular in its failings, Jim Rutenberg writes."
1990,131459315949_10153459127175950,"Over the past several months, Donald J. Trump has crisscrossed the country making campaign stops in his sleek Cessna jet. There is just one hitch: The plane’s registration is expired."
251,131459315949_10154056718320950,2 more days. NYT Politics is sharing updates on Donald J. Trump's and Hillary Clinton's final Sunday of the campaign. Here's what's happening.
1929,131459315949_10153493259800950,"Donald J. Trump mocked his conservative critics and his current and former rivals as dumb, “disgusting” and losers."
1372,131459315949_10153770176410950,"Senator Mitch McConnell presides over an often-gridlocked Senate. Carl Hulse is talking with him about Donald J. Trump, Ted Cruz and a Republican convention that hasn't been unified."
1771,131459315949_10153585735940950,"It's the weekend, but the news doesn't stop. Join Ian Fisher, the NYT weekend editor, to discuss the biggest stories of the day, including news that the Taliban's leader was killed in an American drone strike, the GOP donors who are resisting Donald Trump and the transgender bathroom debate. Submit your questions in the comments, and Paul Moon of the NYT will ask them."
290,131459315949_10154056329650950,"When officials concluded their investigation into Hillary Clinton's use of a private email server, James Comey had a decision to make."
862,131459315949_10153960590475950,"""It cannot be said often or loudly enough: Donald Trump is the worst kind of person who brings out the worst in other people,"" Charles M. Blow writes in The New York Times Opinion Section."
2310,131459315949_10153369830435950,Chris Christie is awkwardly adapting to a new role: Donald J. Trump's yes man.
1933,131459315949_10153488859705950,"This election — not only the Donald J. Trump phenomenon but the rise of Bernie Sanders, also — has reminded us how much pain there is in this country. Read on in The New York Times Opinion Section."
201,131459315949_10154058406525950,How we sent news alerts on Election Day in 1944: Updates were projected on a screen in Times Square. Light beams indicated the winner.Photo: Ernie Sisto/The New York Times (via instagram.com/nytarchives)
2500,131459315949_10153251438315950,"A complete list (so far) of Donald J. Trump's twitter insults, including the ones aimed us: "
2321,131459315949_10153365235070950,"On Donald J. Trump, Peter Wehner writes: ""What stuns me is how my fellow evangelicals can rally behind a man whose words and actions are so at odds with the central teachings of our faith."" Read on in The New York Times Opinion Section."
1167,131459315949_10153839851870950,"A walking tour of Ljubljana, in the footsteps of the local girl Melania Trump."
1822,131459315949_10153556139260950,"""Donald J. Trump should pay for his presidential campaign himself. Like he promised,"" Gail Collins writes in The New York Times Opinion Section."
2503,131459315949_10153248819495950,Many expected Donald J. Trump's event to be stiff competition for Fox News's debate. It wasn't.
1445,131459315949_10153756411980950,"Donald J. Trump strengthened his TV skills on ""The Apprentice."" But the show also previewed darker aspects of his presidential campaign."
2037,131459315949_10153438249860950,Amy Schumer is Team Hillary. Sarah Silverman? Team Bernie.
2186,131459315949_10153404259340950,"Hillary Clinton spoke to a crowd as she racked up victories in Ohio, North Carolina and Florida."
2260,131459315949_10153384589125950,Here's what Hillary Clinton and Bernie Sanders said at the debate.
620,131459315949_10154007593605950,"""Listening to the 2005 recording of Donald Trump’s comments to Billy Bush, I had many reactions. Disgust was one.Amazement was another: I still struggle to comprehend how Americans let Trump get this far.But surprise at what he actually said? Please."" (via The New York Times Opinion Section)"
2402,131459315949_10153313520640950,"The Bush family, a dynasty that defined Republicanism for decades, clashed on Monday with the new and irreverent face of the party, Donald J. Trump."
2636,131459315949_10153127474675950,"We checked assertions made by Donald J. Trump, Carly Fiorina and other candidates during the Republican debate.What'd you think of the debate?"
1400,131459315949_10153767035205950,A behind-the-scenes look at how Donald J. Trump makes important political decisions.
1368,131459315949_10153770838655950,"Ivanka Trump has been playing an active role in her father's campaign, while Melania Trump has preferred to take a back seat. Our reporter Jennifer Steinhauer explains how Ivanka is taking a lead."
2454,131459315949_10153279648380950,"In a brutally caustic debate, Hillary Clinton accused Bernie Sanders of conducting “attacks by insinuation and innuendo” against her integrity and her credentials as a progressive."
2679,131459315949_10153074294220950,Breaking News: Mayor Rahm Emanuel has fired Chicago's police superintendent amid criticism of his handling of the police shooting of Laquan McDonald.
428,131459315949_10154049240255950,"Donald J. Trump and Hillary Clinton were together again tonight, hurling one-liners at each other at a charity dinner."
2780,131459315949_10152755721360950,President Barack Obama's comments on 60 Minutes about the Hillary Clinton email controversy have angered some FBI agents.
990,131459315949_10153926857070950,"Join us for the second part of our conversation with Julian Assange, the WikiLeaks founder, and Jo Becker, an investigative reporter with The New York Times. In July, the organization released nearly 20,000 Democratic National Committee emails suggesting that the Democratic Party had conspired with  Hillary Clinton’s campaign to undermine her primary opponent, Bernie Sanders. Submit your questions in the comments.Here's the first part of our interview: "
171,131459315949_10154060011535950,Markets in Asia took a dive as early election results showed unexpected gains for Donald J. Trump.
1278,131459315949_10153797777305950,USA Freedom Kids became an online sensation after performing at a Donald J. Trump rally. Now they're in a dispute with him.
2018,131459315949_10153444704220950,Megyn Kelly and Donald J. Trump held a private meeting at Trump Tower to discuss their differences.
2041,131459315949_10153437550510950,Donald J. Trump may have to win Indiana and California to get a majority of delegates. There's an argument he's currently favored in both.
2044,131459315949_10153437009705950,Bernie Sanders said that Hillary Clinton was not qualified to be president because of her positions on Iraq and trade.
702,131459315949_10153994282190950,"At a rally this weekend, Donald J. Trump repeated his criticism from the debate that Hillary Clinton lacked the stamina to be president and mocked her stumble at a memorial event on Sept. 11."
805,131459315949_10153965008850950,Donald J. Trump promised the impossible in Pittsburgh.
2544,131459315949_10153207320375950,Bernie Sanders and Donald J. Trump have opened up solid leads in Iowa less than two weeks before the state’s caucuses.
1708,131459315949_10153631907120950,"""Donald J. Trump's anger at being policed or fenced in apparently speaks to the resentment of many American men and their resistance to being instructed, particularly by a female candidate, on how they should think, speak or behave.""Read on from Thomas Edsall in The New York Times Opinion Section."
2053,131459315949_10153434258505950,"Senator Ted Cruz is hoping voters will forgive his disparaging remarks about ""New York values"" and fall behind him, not Donald J. Trump.Hillary Clinton is looking to finish April on a better note after losing 6 of the last 7 states to Bernie Sanders."
541,131459315949_10154024572680950,Hillary Clinton seems content these days to let a damaged Donald J. Trump have the spotlight.
496,131459315949_10154037467185950,"Donald J. Trump still says, despite all the evidence, that the 5 men confessed to sexual assault so they must be guilty. He’s not alone. (via The New York Times Opinion Section)"
965,131459315949_10153928610905950,"A top aide to Hillary Clinton agreed to try to obtain a diplomatic passport for an adviser to former President Bill Clinton in 2009, according to newly released emails."
921,131459315949_10153943354025950,"""That’s more than victim blaming,” a former chief prosecutor of the Air Force said of Donald J. Trump's comments."
2219,131459315949_10153395332725950,"Spotted earlier today outside Donald Trump's Mar-a-Lago Club in Palm Beach, Fla. Photo: Todd Heisler/The New York Times"
1858,131459315949_10153540653025950,"Women who support Donald J. Trump say he's not sexist, he’s just not politically correct. Read on in The New York Times Opinion Section."
421,131459315949_10154049725605950,Barack Obama isn't just going after Donald J. Trump. He's going after Trump's supporters in the Republican National Committee.
945,131459315949_10153930181295950,"""We support Donald Trump’s candidacy to be our next commander in chief,"" the generals and admirals wrote."
881,131459315949_10153952211790950,Hillary Clinton's gains from demographic change could be as small as a single percentage point.
968,131459315949_10153928568750950,"""Did Democrats cry wolf so many times before Trump that no one hears or heeds them now?"" Frank Bruni asks in The New York Times Opinion Section."
2675,131459315949_10153079176365950,"Breaking News: Donald Blakenship, a titan of the nation’s coal industry, was convicted of violating mining safety in the deaths of 29 miners in 2010."
2256,131459315949_10153386269040950,"“I want to vote so Donald Trump won’t win,” said Hortensia Villegas, a legal immigrant from Mexico. “He doesn’t like us.”"
1114,131459315949_10153869370535950,"""[President Barack Obama] founded ISIS, and I would say the co-founder is crooked Hillary Clinton,"" Donald J. Trump told a crowd in Sunrise, Florida.Read more: "
96,131459315949_10154067807045950,"Latinos fear Donald J. Trump will pursue his mass deportation pledge, blacks anticipate an era of intolerance, and Muslims worry about being branded terrorists."
344,131459315949_10154055504090950,"""The millions of people who vote for Trump are not doing it because of the worst things he said or did,"" Peter Thiel said. ""That's ridiculous."""
1709,131459315949_10153631732360950,"A new poll found that Hillary Clinton had a small lead over Donald J. Trump, with 54% of women backing the former secretary of state."
875,131459315949_10153958130330950,"After Donald J. Trump started to criticize Hillary Clinton, a pastor stopped him: “Mr. Trump, I invited you here to thank us,” she said, adding, “not make a political speech.”"
2489,131459315949_10153257605315950,"Here's Ted Cruz in full 360°, warning people in a cozy dinner spot about the perils America faces.More virtual reality footage from Trump, Clinton and Sanders campaign events in our new virtual reality app: "
2207,131459315949_10153398392715950,"On Donald J. Trump: ""No modern political party has nominated a candidate like this; no serious political party ever should,"" writes Op-Ed columnist Ross Douthat in The New York Times Opinion Section."
855,131459315949_10153961341295950,Nicholas Kristof is live answering your questions about Donald J. Trump's relationship with the media.
1297,131459315949_10153787653015950,"Former President Bill Clinton delivered a long, personal recounting of Hillary Clinton's life, offering himself up as a witness to her journey from young law student to first female presidential nominee of a major party.More DNC highlights: : Damon Winter/The New York Times"
2553,131459315949_10153196485845950,"For Hillary Clinton, the fight against Bernie Sanders could stretch from Pennsylvania to Guam."
2152,131459315949_10153415298360950,"""Those cheering at Donald J. Trump rallies should remember that xenophobia and hatred can be a two-way street."" Read on in The New York Times Opinion Section."
2375,131459315949_10153340979935950,"Hillary Clinton has 502 delegates to Bernie Sanders’s 70; 2,383 are needed to win the nomination."
342,131459315949_10154055615725950,"""This entire election is being conducted in the key of hysteria, and Comey just found a way to amplify that ugly music,"" Frank Bruni writes in The New York Times Opinion Section."
821,131459315949_10153963646760950,"By refusing to subject himself to the most basic level of financial scrutiny Donald J. Trump is disqualifying himself as candidate, the Editorial Board writes in The New York Times Opinion Section."
2455,131459315949_10153279623345950,Hillary Clinton and Bernie Sanders went head-to-head in a more combative Democratic debate.
1348,131459315949_10153772845540950,"This was Dark Donald, presenting himself as a man for hard times."
1161,131459315949_10153842644005950,"""Apparently these people are here to protest Trump because Trump and his kids have killed a lot of animals,"" Hillary Clinton said."
1536,131459315949_10153740883615950,Loretta E. Lynch's decision comes after a private meeting between her and former President Bill Clinton set off a political furor.
2162,131459315949_10153411563515950,"""How does it feel to be labeled a menace, misogynist, bigot and xenophobe by your own party?"" —Maureen Dowd on Donald J. Trump.Read more from The New York Times Opinion Section."
1091,131459315949_10153884654300950,A referendum on Donald J. Trump? Liberals aren't sure that's the election they want.
1521,131459315949_10153747670235950,"Donald J. Trump has been called a lot of things by a lot of people. In Israel, the word that keeps coming up is ""dugri,"" a slang Hebrew term that describes someone who is frank and blunt no matter the consequences."
108,131459315949_10154065792030950,These are the policy changes America can expect from Donald J. Trump.
135,131459315949_10154062905265950,"“Donald Trump is going to be our president,” Hillary Clinton told the nation in her concession speech. “We owe him an open mind and a chance to lead.” "
2495,131459315949_10153255131105950,"Labor leaders fear that Donald J. Trump may draw a large number of union voters, possibly improving GOP chances in a November general election."
1144,131459315949_10153854791865950,"“None of us will vote for Donald J. Trump."""
495,131459315949_10154037625455950,The State Department and FBI had sharp disputes over the classification of Hillary Clinton's emails.
888,131459315949_10153950587350950,"""Donald Trump says stuff every day that used to be considered as disqualifying for being president,"" President Obama said. ""We cannot afford suddenly to treat this like a reality show."""
1971,131459315949_10153462650240950,Hillary Clinton's team has already started thinking about who would make a good running mate. Here are some likely contenders.
831,131459315949_10153963400955950,"Many American voters seem prepared to accept nearly anything Donald J. Trump says or does, Declan Walsh writes."
1460,131459315949_10153755154120950,Breaking News: Donald J. Trump’s campaign has signaled to national GOP officials that he will pick Gov. Mike Pence of Indiana as his running mate.
498,131459315949_10154037316770950,"Melania Trump emerged from her near-total silence to defend her husband, saying, “We are moving on.”"
1226,131459315949_10153814977650950,Donald J. Trump's comment on Khizr Khan's poignant convention speech: “I’d like to hear his wife say something.”Read more from The New York Times Opinion Section.
970,131459315949_10153928531020950,"Melania Trump filed a lawsuit contending the Daily Mail published an article that contained “false and defamatory statements,” including that she was once an escort."
202,131459315949_10154058406590950,Here are the fake stories and memes we've seen so far on election day.
2715,131459315949_10153025053100950,"Myanmar’s election commission said the party of Daw Aung San Suu Kyi had won 348 seats in Parliament, giving her democracy movement a majority and the power to select the country’s next president."
2665,131459315949_10153093444580950,The campaigns of Hillary Clinton and Bernie Sanders have responded to Donald J. Trump's proposal to ban Muslims from entering the U.S.
169,131459315949_10154060128900950,"Breaking News: Donald J. Trump has won North Carolina, opening a clear path to victory with one of the night’s biggest electoral prizesLive analysis and results here: "
1105,131459315949_10153873530830950,"The conclusion is that the Trump campaign has accelerated the ongoing transformation of the Democratic Party, Thomas Edsall writes in The New York Times Opinion Section."
2445,131459315949_10153282289760950,"Now locked in a tighter race, Hillary Clinton is holding big rallies too, and she increasingly channels Bernie Sanders.Read more from The New York Times Opinion Section."
2359,131459315949_10153346912500950,Donald J. Trump has stoked his crowds by promising to bring back jobs. But he has also pursued more than 500 visas for foreign workers.
1450,131459315949_10153755928600950,"Donald J. Trump on Gov. Mike Pence: ""I found the leader that will help us deliver a safe society and a prosperous society, a really prosperous society, for all Americans."""
1749,131459315949_10153598270230950,"Breaking News: The State Department's inspector general  sharply criticized Hillary Clinton over her private email server, saying she never got permission to use it."
1062,131459315949_10153900031160950,"Pressed by the FBI, Hillary Clinton told investigators that former Secretary of State Colin Powell advised her to use a personal email account."
2420,131459315949_10153295396245950,"The battle for the Democratic nomination is becoming increasingly competitive, which could mean sharper exchanges when Hillary Clinton and Bernie Sanders."
65,131459315949_10154071668970950,"Hundreds of New Yorkers left notes on a wall in a subway station after the election.""America, thank you for always accepting me,"" one note read."
2729,131459315949_10152999530055950,"“I will be above the president,” said Myanmar's Aung San Suu Kyi ahead of the election.A brief guide to Myanmar’s election: "
2649,131459315949_10153118624765950,"Jeb Bush's key problem? He’s not eating enough fat. As for Donald J. Trump? He should eat less sugar. “Look at him, his cortisol is raging.”"
270,131459315949_10154056516750950,"""How did all our political norms get destroyed? Hint: It started long before Donald J. Trump,"" Paul Krugman writes in The New York Times Opinion Section."
370,131459315949_10154054301965950,There aren’t many states more important to Donald J. Trump and Hillary Clinton than North Carolina.
1853,131459315949_10153542890125950,"For more than 3 decades, conservative white evangelicals have been a dominant force within the Republican Party. This year, the relationship is coming undone, as the party is poised to nominate Donald J. Trump. Read more in The New York Times Opinion Section."
1387,131459315949_10153768358060950,Ted Cruz was showered with boos after he refused to endorse Donald J. Trump at the GOP convention. Catch up on more highlights here.
1805,131459315949_10153569070535950,"A common sentiment heard about Donald J. Trump in Washington: ""Never met him."""
1667,131459315949_10153648187380950,"After decades of mistrust, India and the United States have turned toward cooperation. Donald J. Trump can claim at least some of the credit."
1150,131459315949_10153850952520950,"""The conclusion has become that the guy is incorrigible."" Republicans in close races are starting to distance themselves from Donald J. Trump."
212,131459315949_10154058020860950,"Bruce Springsteen: ""Let's all do our part so we can look back on 2016 and say, we stood with Hillary Clinton on the right side of history. That's why I'm standing here with you tonight, for the dream of a better America."""
2297,131459315949_10153373758175950,"The Tea Party’s ultimate creation, Donald J. Trump, may now be coming for Paul Ryan."
1128,131459315949_10153861082530950,"""People are playing with fire here, and there is no bigger flamethrower than Donald J. Trump. Forget politics; he is a disgusting human being. His children should be ashamed of him,"" Thomas Friedman writes in The New York Times Opinion Section."
2231,131459315949_10153390852970950,"Hillary Clinton and U.S. Senator Bernie Sanders traded attacks over immigration, the government bailout of the auto industry and Donald J. Trump."
1568,131459315949_10153719361230950,"“The issue right here is I’m going to do everything I can do to defeat Donald J. Trump,"" Bernie Sanders added after saying he would cast his vote for Hillary Clinton."
1542,131459315949_10153736783935950,Bernie Sanders is back to giving floor speeches deriding the rich and defending those in misery and giving TV interviews during which he declines to fully support Hillary Clinton for president.
1256,131459315949_10153803264295950,"Chelsea Clinton used to be known for being kept out of the spotlight. This election, she has taken on a much more significant role, and speculation has surrounded where she would fit in the White House."
2477,131459315949_10153268778005950,"Bernie Sanders, on a tight Iowa caucus race with Hillary Clinton: ""What Iowa has begun tonight is a political revolution."" "
126,131459315949_10154063866845950,"This election has revealed that Donald J. Trump and Hillary Clinton voters ""occupy two separate countries. President-elect Trump is now the leader of both of those countries. I’m hopeful that he’ll show as president the empathy he so often failed to show as a candidate. Most important, I hope the residents of those countries do the same."" Read on in The New York Times Opinion Section."
1069,131459315949_10153897555095950,"""All of black America is looking askance at Donald J. Trump. He has no credibility with black people, other than the handful of black staffers and surrogates who routinely embarrass themselves in their blind obsequiousness,"" Charles M. Blow writes in The New York Times Opinion Section."
752,131459315949_10153980570150950,"""If “Trump the Candidate” is often an outsize caricature of Donald J. Trump, the New York businessman, then “Trump the Debater” was the opposite."""
2576,131459315949_10153174870190950,Donald J. Trump's Iowa organization still seems an afterthought.
1330,131459315949_10153777848950950,"""I don’t see what else to call it but racism,"" Nicholas Kristof writes after examining more than 40 years of Donald J. Trump’s career. Read on in The New York Times Opinion Section."
668,131459315949_10153997137310950,"Calling Mike Pence the “first hire” of his administration, Donald J. Trump said his running mate was an advertisement for government à la Trump."
1025,131459315949_10153913960335950,"“He is taking hate groups mainstream and helping a radical fringe take over the Republican Party,” Hillary Clinton said of Donald J. Trump."
689,131459315949_10153995413995950,"“He abuses his power, games the system, puts his own interests ahead of the country’s,” Hillary Clinton said. “It’s always Trump first, and everyone else last.”"
1928,131459315949_10153493780035950,“Trump and his supporters have turned the racial dog whistle into an air horn.” Read on from Jenée Desmond-Harris in The New York Times Opinion Section.
983,131459315949_10153928132145950,"He did not mock. He did not scold. He did not blunder. In many ways, it was Donald J. Trump's most successful performance of the summer."
191,131459315949_10154058657155950,We’ll know pretty quickly whether Hillary Clinton is poised to win in a knockout.
984,131459315949_10153928040000950,"Donald J. Trump's efforts at diplomacy with Mexico’s leader, Enrique Peña Nieto, quickly backfired."
271,131459315949_10154056499705950,Every election is exhausting. But this election is depleting. It’s time for a pause. It’s time for a laugh.
76,131459315949_10154070822000950,"Steve Bannon of Breitbart News is a leading candidate to become Donald J. Trump's chief of staff, sources say."
2696,131459315949_10153048575985950,"Dr. Ben Carson has joined Donald J. Trump in saying that he too saw Muslims cheering when the World Trade Center fell on Sept. 11, 2001. (via The New York Times Politics and Washington)"
987,131459315949_10153927653225950,Donald J. Trump called Mexico’s president “a friend” after their meeting.
1512,131459315949_10153749131505950,"Are Trump Hotels as big, brash and over the top as Donald J. Trump himself?"
2300,131459315949_10153372360250950,"""Young Latinos have been telling me that they want to register to vote because of Donald Trump. Not because they want to vote for him, but because they want to vote against him."" — Jorge Ramos of Univision"
1829,131459315949_10153553455715950,A group of Bernie Sanders supporters are calling for him to suspend his campaign after California and build an independent organization aimed at defeating Donald J. Trump.
2700,131459315949_10153046151565950,"""This week we had a chance to watch Hillary Clinton respond in real time to a complex foreign policy challenge.""Read more from The New York Times Opinion Section"
1833,131459315949_10153546590465950,"Let Hillary Clinton have the nomination and give Bernie Sanders the party platform, writes Gail Collins. Read on in The New York Times Opinion Section."
666,131459315949_10153997240140950,While Hillary Clinton was secretary of state the Clinton Foundation took money from foreign bigwigs to help fund its work with impoverished people overseas. But the other guy spent his charity’s money on a six-foot portrait of himself. Any more questions? Read on in The New York Times Opinion Section.
1834,131459315949_10153546560895950,How Donald J. Trump won the Republican civil war. Read on in the The New York Times Opinion Section.
2732,131459315949_10152998121270950,"In just 2 decades, Asian-American support for the Democratic presidential candidate more than doubled, from the 31% President Bill Clinton got in 1992 to the 73% cast for President Barack Obama in 2012, according to exit polls. Why? Read on in The New York Times Opinion Section."
319,131459315949_10154056095305950,"Election Day is approaching. Through Nov. 8, The Upshot will update the latest U.S. and swing state polls daily."
1666,131459315949_10153649285420950,"At the moment that Hillary Clinton was all but clinching the Democratic nomination for president, Meryl Streep was on a stage in Central Park, impersonating Donald J. Trump."
404,131459315949_10154051865985950,"Hillary Clinton is urging core Democratic constituencies to vote early where they can. By running up a lead ahead of Nov. 8 in states like North Carolina and Florida, she could make it very difficult for Donald J. Trump to come back."
106,131459315949_10154065923655950,"As the U.S. delivered Donald J. Trump a stunning victory, California went the other direction, embracing a progressive agenda."
119,131459315949_10154064852140950,"After Donald J. Trump was elected president, protesters took to the streets yelling: ""Not my president!"" and ""Impeach!"""
242,131459315949_10154056927190950,"In each presidential race since 2004, she's tracked the candidate cups sold at her store. She's predicted every election."
1117,131459315949_10153868163350950,A man climbing Trump Tower in NYC with what appeared to be suction cups was yanked into a 21st-floor window by police.
1469,131459315949_10153754023350950,How Donald J. Trump put “identity politics for white people” at the heart of the presidential campaign.
1326,131459315949_10153779968065950,There has been debate inside Hillary Clinton's campaign about how much to focus on women.
400,131459315949_10154052193325950,"Everyone who endorsed Donald J. Trump in the past owns him now; it's far too late to get a refund, Paul Krugman writes in The New York Times Opinion Section."
2733,131459315949_10152998089480950,Donald J. Trump did what he does best: He sold himself.
2100,131459315949_10153425042155950,"Some of the country’s best-known corporations are nervously grappling with what role they should play at the Republican National Convention, given the likely nomination of Donald J. Trump."
1189,131459315949_10153830332530950,"Ignoring the pleas of his advisers, Donald J. Trump only dug in further against the parents of a slain Muslim American soldier."
2657,131459315949_10153103101810950,Breaking news: A new poll finds Donald J. Trump with his most commanding lead yet.
2401,131459315949_10153314702825950,"""Sanders and Trump have adopted emotional tones that are going to offend and exhaust people over time.""Read more from The New York Times Opinion Section."
2032,131459315949_10153439486025950,"Donald J. Trump may be the most well-known developer in New York today, but a century ago the Wendels were perhaps the most powerful landlords in New York City."
2161,131459315949_10153413468265950,"""We’ve all worked our butts off,” he said. “And now they’re going to throw us under the bus? If Trump will kick Carrier’s ass, then I’ll vote for him.”"
2573,131459315949_10153178688495950,"Ted Cruz ""just did the very thing that literally every Republican has been talking about for months"": Confront Donald J. Trump head-on.Here's what happened: (Photo: Eric Thayer for The New York Times)"
2408,131459315949_10153305749365950,"""The interesting thing about the spectacle of older women trying to shame younger ones on behalf of Hillary is that Hillary and Bill killed the integrity of institutional feminism back in the ’90s — with the help of Madeleine Albright and Gloria Steinem.""Read on in The New York Times Opinion Section."
1038,131459315949_10153910450160950,Landslides don't really happen in presidential elections anymore.
1033,131459315949_10153911199000950,"""We tried election observers. There’s a reason we left them in the past."" Read on in The New York Times Opinion Section."
1141,131459315949_10153855891850950,Read the letter from dozens of GOP national security officials saying they won't vote for Donald J. Trump.
56,131459315949_10154072176020950,"Donald J. Trump said that after talking with President Obama, he might be willing to leave in place parts of the Affordable Care Act."
2486,131459315949_10153262784170950,"Every election is different, unruly, strange. This one is just much more so."
98,131459315949_10154067445535950,Red arrows show how much Donald J. Trump surpassed Mitt Romney in counties across the United States.
1225,131459315949_10153815280415950,"""Whatever one thinks of Clinton, her nomination is a milestone, and a lesson of history is that when women advance, humanity advances.""Read more from Nicholas Kristof in The New York Times Opinion Section."
2239,131459315949_10153390362315950,"Some Republicans are banking on a scenario in which Donald J. Trump fails to reach the 1,237 delegates required to secure the nomination."
1530,131459315949_10153744918700950,Hillary Clinton has avoided mention of the one policy that economists widely see as the most effective way to tackle climate change.
1942,131459315949_10153481059135950,Donald J. Trump pledged a major buildup of the military and the swift destruction of ISIS.
1073,131459315949_10153895195410950,Donald J. Trump has adopted a tactic that has long been a mainstay of strongmen and sectarian provocateurs: portraying outsiders as a threat to women’s safety.
