,statis_id,content,source
1390,15704546335_10154525587756336,"Hillary Clinton got 85 percent of the African American vote, while Gary Johnson got seven percent.",fox
2676,15704546335_10154189856966336,"If abortions were made illegal in the United States, Donald J. Trump said there should be consequences for breaking the law. Do you agree?",fox
2141,15704546335_10154322550631336,"""For too long, President Obama cares more about world leaders' opinion ... than the opinion of the people he actually works for, the American people.""Bobby Jindal criticized Obama's comments on world leaders being ""rattled"" by Donald J. Trump and said ""that'd be a good thing.""",fox
1673,15704546335_10154466464526336,"""Donald J. Trump is going to show respect for the law enforcement officers so they don't wear targets on their back.""Mike Huckabee said Republicans are saying to the American people, ""you want to stand with the cops or ... stand with the crooks?""",fox
1932,15704546335_10154392122711336,“He was wrong on this. He didn’t get the mood of his country right…But he’s a good man.” – Donald J. Trump comments on British Prime Minister David Cameron resigning after Britain votes to leave the EU. #Brexit,fox
1856,15704546335_10154419808931336,Here's what Speaker Paul Ryan thinks after learning the FBI's recommendation not to charge Hillary Clinton.,fox
2088,15704546335_10154341537511336,"""This is anti-Americanism.""Mike Huckabee responded to the violence committed against Donald J. Trump supporters in San Jose, California. ",fox
1568,15704546335_10154486097066336,"Hillary Clinton should embrace the ""evil, cartoon version"" of herself that's often portrayed by the media, Bill Maher said on ""Real Time"" last night.",fox
1820,15704546335_10154424159801336,FBI Director James Comey explains why he recommended that Hillary Clinton not face charges for her private email server.,fox
595,15704546335_10154706888431336,"Newt Gingrich reacted to new Wikileaks emails on Clinton campaign chairman John Podesta & FBI documents that indicate a top State Department official proposed a ""quid pro quo"" to the Bureau.",fox
2024,15704546335_10154354044571336,Breaking News: President Barack Obama endorses Hillary Clinton for president.,fox
2826,15704546335_10154130154371336,"""Some [protesters] represented Bernie, our Communist friend... He should really get up and say to his people, 'Stop, stop.' Not me.""Moments ago at a rally in Vandalia, Ohio, Donald J. Trump talked about last night's canceled Chicago event, the divisions in this country, and called President Obama the ""Great Divider.""",fox
562,15704546335_10154713599241336,Debate question: Will Donald Trump accept the results of the election?Donald J. Trump: “I will tell you at the time. I’ll keep you in suspense.”Hillary Clinton: “That’s horrifying.”,fox
323,15704546335_10154753353251336,"On Fox & Friends, Speaker Paul Ryan said former President Bill Clinton and Hillary Clinton ""live beyond the rules.""",fox
147,15704546335_10154776515116336,Fox News projects Donald J. Trump wins the swing state of Iowa. #Election2016 #FoxNews2016 Watch Fox News Channel: ,fox
2794,15704546335_10154139618031336,"“These aren’t my grandpa’s Democrats… It’s a party of enabling. They enable people to stay weak and poor and full of excuses,” Gayla Baer-Taylor, lifelong Democrat on why she’s voting for Donald J. Trump ",fox
383,15704546335_10154743059856336,"""Do you want somebody who puts their financial well-being first, as Hillary Clinton did all the way back with cattle futures... Is this what we want in the White House?"" – Darrell Issa ",fox
2353,15704546335_10154272995976336,"George H.W. Bush and George W. Bush do not plan to endorse the presumptive Republican nominee, Donald J. Trump.",fox
445,15704546335_10154733756261336,Los Angeles police are investigating the vandalizing of Donald J. Trump's star on the Hollywood Walk of Fame following a report that it was smashed with a sledgehammer.,fox
2760,15704546335_10154149883666336,"“At this point, Kasich’s role is essentially as a spoiler. A vote for John Kasich is a vote for Donald J. Trump.”Do agree with Sen. Ted Cruz that it's time for Kasich to suspend his campaign? ",fox
3890,15704546335_10153408332966336,"Breaking News: NBC is ending its business relationship with Donald J. Trump due to his ""recent derogatory statements"" regarding immigrants. DETAILS: ",fox
437,15704546335_10154734564116336,Some Texas residents are claiming machines have switched their votes from Donald J. Trump to Hillary Clinton – though local officials are saying many of the incidents are due to human error.,fox
1303,15704546335_10154547493221336,"ABC News' Stephanopoulos, a former aide to President Bill Clinton, must have forgotten to disclose his own five-figure donations to the organization.",fox
757,15704546335_10154677092041336,"""Democrats have taken the African-American community for granted for a very long time.""Today on ""FOX & Friends Weekend,"" Leslie Wimes talked about the Democratic Party's relationship to African-Americans, and explained why Hillary Clinton ""does not inspire the African-American community.""",fox
1611,15704546335_10154479183626336,"Ahead of President Obama's speech to the Democratic National Convention tonight, The White House released excerpts touting Hillary Clinton's experience.",fox
3473,15704546335_10153872673116336,"""Attacking Trump is a very foolish strategy.""Yesterday on ""Sunday Morning Futures with Maria Bartiromo,"" Ed Rollins discussed the news that some major Republican donors are fueling an ad blitz against Donald J. Trump.",fox
101,15704546335_10154778650271336,"In her #election2016 concession speech, Hillary Clinton had this message for young people. ",fox
3315,15704546335_10153990581571336,Hillary Clinton outlined her plan to prevent terror attacks on American soil during tonight’s #DemDebate.,fox
544,15704546335_10154715271651336,"""Donald Trump talking about the rigged, corrupt system is very important when your opponent...has used the State Department as a concierge for foreign donations."" –Trump campaign manager Kellyanne Conway",fox
1637,15704546335_10154474383916336,Donald J. Trump tweeted in response to Bernie Sanders' #DNC speech.  More: ,fox
3911,15704546335_10153334647066336,"Accusing her of ""dividing Americans"" and political pandering, several of Hillary Clinton's potential Republican rivals fired back after she accused them of trying to make it more difficult for Americans to vote.",fox
743,15704546335_10154681530801336,"""With prior Republican nominees for president, I disagreed with them on politics, policies, principles, but I never questioned their fitness to serve. Donald J. Trump is different."" – Hillary Clinton ",fox
2434,15704546335_10154256507986336,"“As an Indiana University graduate and WWII vet, I have a tremendous respect for ‘The General,’ Bobby Knight.” One of our nation’s heroes got to ask Donald J. Trump and Bobby Knight a question at last night's #TrumpTownHall – but not before the entire room rose to an emotional standing ovation. ",fox
3408,15704546335_10153919658056336,45 percent of Democrats favor a temporary ban on non-U.S. Muslims if Donald J. Trump’s name is not mentioned.,fox
1420,15704546335_10154518020496336,Hillary Clinton delivers a speech about jobs and the economy.,fox
3183,15704546335_10154038388016336,"""I would love to run against a socialist, probably a communist, if you want to know the truth.""Today on ""FOX & Friends Weekend,"" Donald J. Trump talked about potentially running against Sen. Bernie Sanders in the fall.",fox
1537,15704546335_10154494128271336,"Watch Live: Donald J. Trump holds a rally in Ashburn, Virginia.",fox
1810,15704546335_10154427947561336,Donald J. Trump and Hillary Clinton responded to the #Dallas shooting.,fox
68,15704546335_10154786008101336,"Bill O'Reilly said the attackers in Chicago - who were caught on tape yelling ""don't vote Trump"" as the man was beaten in the street - should be charged with a hate crime. What do you think?",fox
2343,15704546335_10154274214871336,“I felt last fall that he would be the Republican nominee.”Michael Moore said that it’s time for people to take Donald J. Trump seriously. Do you agree? ,fox
984,15704546335_10154626383771336,"""[Hillary Clinton] keeps saying that we need to move slowly on this. Someone give her a Red Bull, because the wolf is at the door – the wolf is chewing through the door."" – Sheriff David Clarke on fighting Islamic terror threat",fox
3655,15704546335_10153708368441336,Federal investigators have reportedly recovered work-related and personal emails that Hillary Clinton claimed were deleted from her personal server.,fox
1154,15704546335_10154586392811336,"“Hillary Clinton was a first lady. She was a senator from New York, she was a secretary of state. For her to argue to the American people that she didn’t know how to classify information…is not only untrue but it's laughable and it’s insulting to the American people’s intelligence.” — Katie Pavlich",fox
2709,15704546335_10154167434871336,"""Hillary Clinton could be considered a founding member of ISIS."" – Rudy Giuliani ",fox
2608,15704546335_10154209037121336,"“If Ted Cruz was running without Donald J. Trump, Cruz would be the guy the establishment would be totally opposed to… But now that they’re terrified of Trump, they’ve decided that if they don’t like Cruz, at least they could tolerate him.” – Newt Gingrich",fox
392,15704546335_10154743070071336,"In July, House Minority Leader Nancy Pelosi called Comey a ""great man"" for his original decision not to suggest charges against Hillary Clinton.",fox
3121,15704546335_10154060020576336,"“[Donald J. Trump] sounds like a liberal Democrat to me, Bret Baier. He’s wrong.”Last night on “Special Report,” former VP Dick Cheney said that Trump is ""way off base"" with his claims about 9/11 and clearly hasn't spent any time learning the facts of that period. bit.ly/1QhJhVY",fox
3464,15704546335_10153888109496336,"Mike Fernandez, a Jeb Bush donor, ran a full-page ad in McClatchy’s Miami Herald Sunday and will run the same ad on Dec. 14 in Des Moines and Las Vegas slamming Donald J. Trump.",fox
2675,15704546335_10154189467221336,Andrea Tantaros agrees with Donald J. Trump that he has not been treated fairly. She says “we’re finally seeing some honesty” after the GOP candidate said he would no longer honor his pledge to support the eventual Republican nominee for president. Thoughts? ,fox
1291,15704546335_10154550359091336,"In the piece, Philip Kennicott casts Trump as a Putin-esque authoritarian who could be waiting to grab the arts world by the throat. He says Trump has “deployed authoritarian language more consistently than any major political figure in memory.”",fox
2658,15704546335_10154196571391336,“Dr. Ben Carson's comments indicate that Mr. Trump used the promise of a role in his administration to secure Dr. Carson’s support for his presidential campaign.”,fox
3522,15704546335_10153820772231336,"During the opening monologue, Donald J. Trump was interrupted by “Seinfeld” creator and Bernie Sanders alter-ego Larry David, who shouted “Trump’s a racist!”",fox
1878,15704546335_10154410809836336,Watch Attorney General Loretta Lynch address plans to accept whatever recommendation comes from the FBI on the charges related to Hillary Clinton's personal email server.Courtesy: Aspen Institute/Aspen Ideas Festival,fox
3436,15704546335_10153902863606336,The U.S. Department of State cannot find emails sent by Hillary Clinton’s IT staffer Bryan Pagliano who helped setup Clinton’s private email server.,fox
186,15704546335_10154775541571336,Mike Pence tweeted his thanks after Donald J. Trump won the state of Indiana. #FoxNews2016 #Election2016,fox
2667,15704546335_10154193786156336,"""If in fact abortion was outlawed, the person performing the abortion – the doctor or whoever it may be – ... not the woman is responsible.""Donald J. Trump clarified his controversial comments on abortion, saying ""my stance is the exact same as Ronald Reagan.""",fox
224,15704546335_10154771172291336,"In the final Fox News poll before #ElectionDay, Hillary Clinton leads Donald J. Trump by 4 percent. ",fox
1829,15704546335_10154422245461336,"Attorneys for convicted sex offender Jeffrey Epstein touted his close friendship with Bill Clinton and even claimed the billionaire helped start the Clinton Foundation in a 2007 letter aimed at boosting his image during plea negotiations, FoxNews.com has learned.",fox
1676,15704546335_10154465958536336,Live: Hillary Clinton holds a rally for supporters in Tampa.,fox
113,15704546335_10154779118816336,The Dow Jones industrial average closed near an all-time high after surging up 255.27 points following Donald J. Trump's surprise victory. More: ,fox
1698,15704546335_10154463084556336,Liberal filmmaker Michael Moore had an interesting prediction about Donald J. Trump.,fox
3381,15704546335_10153939597586336,"""If [Donald J. Trump's] the nominee, of course I'll support him.""Yesterday on ""Fox News Sunday,"" Mike Huckabee pledged to support Donald Trump if the billionaire businessman becomes the presidential nominee of the GOP.",fox
1702,15704546335_10154461690416336,"""My father doesn't think in terms of demographic. He thinks in terms of the person.""Ivanka Trump said her father ""lives gender equality"" by looking for the same qualities of drive, passion, and vision in both women and men equally.",fox
267,15704546335_10154765663521336,"Just as it was getting started, Hillary Clinton's speech in Florida was stopped by a torrential downpour.",fox
2814,15704546335_10154134961516336,"""[Donald J. Trump's] not going to be president.""Today on ""Fox News Sunday,"" John Kasich had blunt words for Trump, comparing his campaigning style to the GOP front-runner's. ",fox
3120,15704546335_10154061841796336,"“We’re helping Hillary and we’re helping ourselves. Women should help other women, right?” Entice Love, a 26-year-old sex worker, said.",fox
3104,15704546335_10154067580461336,"This is the first time Bernie Sanders has been ahead of Hillary Clinton, who not long ago was regularly described as the “presumptive Democratic nominee.”",fox
2816,15704546335_10154134353301336,"""The left is mad because he's standing up to them. That's what the problem is - you're supposed to submit to them and be a nice little meek lamb.""On ""FOX & Friends Weekend"" this morning, Dr. Ben Carson talked about Donald J. Trump's recent problems with activists.",fox
2183,15704546335_10154315263226336,BREAKING NEWS: The Democratic governor and Clinton ally is the target of a Justice Department investigation into whether he violated campaign finance laws.,fox
1294,15704546335_10154550765821336,"Live: Donald J. Trump holds a campaign rally in Austin, TX.",fox
2580,15704546335_10154220422806336,Here's how much your taxes could decrease under Donald J. Trump and rise under Bernie Sanders. ,fox
3022,15704546335_10154091160616336,Do you agree with Hillary Clinton? #SCPrimary,fox
799,15704546335_10154667927371336,"""There's a reason why people question the trustworthiness of Hillary Clinton, and that's because they're paying attention.""Republican vice-presidential nominee Mike Pence hit at Clinton for issues of honesty on her private email server and Clinton Foundation donations.",fox
3131,15704546335_10154056547791336,"""Look, all smart people know the war in Iraq was a huge bungle, it was a huge mistake, it was a tremendous mistake. And then it was made worse when Obama got us out the wrong way."" – Donald J. Trump ",fox
1580,15704546335_10154483628916336,"While people were protesting during the DNC, 15-year-old Brandon Combs played the national anthem on his trumpet for Philadelphia Police Department officers to show his support for their service. ",fox
1211,15704546335_10154571525646336,Donald J. Trump responds to former Mexican President Vicente Fox Quesada saying he's not welcome in Mexico today. ,fox
2120,15704546335_10154332632171336,"“I have never received such bad publicity for doing such a good job,” Donald J. Trump said.Hear more from Trump when he talks to Sean Hannity tonight at 10p ET.",fox
1451,15704546335_10154512675076336,"After the parents of two Benghazi victims sued Hillary Clinton, Sheriff David Clarke slammed the Democratic candidate on Twitter. ",fox
1233,15704546335_10154562818816336,"""[Donald J. Trump] has stuck to his guns on the idea that we're going to have a border, we're going to enforce the border.""Gov. Mike Huckabee joined Howard Kurtz on ""MediaBuzz"" today to react to the GOP presidential nominee ""softening"" his tone on immigration. ",fox
844,15704546335_10154661161831336,The New York Times reported that Donald J. Trump's claimed losses were so large that they would have allowed him to avoid paying an equivalent amount of federal income tax over an 18-year period.,fox
3898,15704546335_10153385284896336,"""We have to take the jobs away from other countries that are making our product, they're taking our money, and they are in fact taking our jobs.""Last night, Donald J. Trump went ""On The Record with Greta Van Susteren,"" where he discussed race relations in America and the TPA bill.",fox
3036,15704546335_10154088259801336,"""It's Rubio!"" Watch Donald J. Trump use a water bottle to mock Marco Rubio at a rally in Texas.",fox
1749,15704546335_10154454708126336,"Live: Hillary Clinton speaks at the NAACP Convention in Cincinnati, Ohio.",fox
805,15704546335_10154668092296336,"Tim Kaine defended the work of the Clinton Foundation, saying ""no Clinton family member draws any salary"" from the non-profit.",fox
554,15704546335_10154713987721336,"""If you look at it as an American, as a human, and you're not totally disgusted, there's something wrong with you.""Donald Trump Jr. reacted to the alleged actions of Democratic operatives uncovered by conservative activist group Project Veritas.",fox
2941,15704546335_10154103175901336,"“For 40 years, Donald J. Trump has been part of the corruption in Washington that you’re angry about.”Do you agree with Ted Cruz? #GOPDebate Foxnews.com/debate",fox
1686,15704546335_10154464092041336,"""The irresponsible rhetoric of our president, who has used the pulpit of the presidency to divide us by race and color, has made America a more dangerous environment than frankly I have ever seen."" – Donald J. Trump More: ",fox
2828,15704546335_10154129793276336,"""The goons need to back off and they need to be silenced, not the people who are on the side of law and order.""Moments ago, Milwaukee County Sheriff David Clarke talked about last night's clashes in Chicago that caused the Donald J. Trump rally to be cancelled. ",fox
2748,15704546335_10154151176366336,"""We just want to enforce our rules. What's wrong with that?""Jamiel Shaw Sr., whose son was murdered by an illegal immigrant gang member, discussed protests at Trump rallies on behalf of illegal immigration.",fox
1505,15704546335_10154500691511336,"On ""Hannity,"" Dr. Ben Carson weighed in on the state of the race and said ""most of the mainstream media is completely in the tank for Hillary Clinton.""",fox
687,15704546335_10154689092886336,"Donald J. Trump's supporters are 'standard rednecks,' former President Bill Clinton said while campaigning for Hillary Clinton. ?",fox
3504,15704546335_10153836991401336,Do you agree with Hillary Clinton?,fox
3828,15704546335_10153516587241336,"""If you were negotiating a deal with Donald - and I've seen him - he would have taken that piece of paper and thrown it in your face and said, 'Go to hell.'"" Do you agree with former New York City Mayor Rudy Giuliani that Donald J. Trump would have negotiated a better deal with Iran than Secretary of State John Kerry?",fox
2067,15704546335_10154346999931336,"""He is doing a great job overall. I deeply disagreed on one item.""""Newt Gingrich stood by his criticism of Donald J. Trump's attack on Judge Gonzalo Curiel but said ""this case clearly should be dismissed. It's an absurdity.""",fox
248,15704546335_10154767998276336,"""We can not have a country led by a president subject to ongoing criminal investigations, potential indictments and never ending hearings.""In last night's Opening Statement, Judge Jeanine Pirro laid out her case for why Hillary Clinton cannot be the next president and Donald J. Trump should be. ",fox
2721,15704546335_10154162568341336,WATCH: Donald J. Trump told Sean Hannity that he would go “beyond waterboarding” in order to prevent terror attacks; this amid talk that the #BrusselsAttacks were retaliation for Paris attacker Salah Abdeslam’s arrest. ,fox
3184,15704546335_10154037601941336,"At last night's #GOPDebate, Donald J. Trump said President Barack Obama has “no idea what he’s doing and our country is going to hell.”Do you agree or disagree?",fox
3218,15704546335_10154025320571336,"“She should be prosecuted, Bret. I mean it’s really that simple.”Chris Christie spoke with Bret Baier about Hillary Clinton’s server scandal, saying “I hope and pray that the The United States Department of Justice will not politicize this and will do the right thing.”",fox
2383,15704546335_10154267065096336,“She’s playing the ‘woman’s card’ like I’ve never seen anybody play it. I think even women are disgusted by it.”WATCH: Donald J. Trump reacted to Hillary Clinton’s “off the reservation” remarks and how she continues to bring gender into politics.,fox
1022,15704546335_10154616631816336,Donald J. Trump tried to put the birther controversy to rest.,fox
3311,15704546335_10153992319171336,Guzmán’s legal team cited the hostile environment in the U.S. toward Mexicans following Donald J. Trump’s comments as evidence that he wouldn’t get a fair shake north of the border.,fox
22,15704546335_10154793906516336,Live now: President Obama holds his first press conference since the election.,fox
3640,15704546335_10153726807911336,DEVELOPING: Newly released emails show Russia-linked hackers tried at least five times to pry into Hillary Clinton's private email account while she was secretary of state. ,fox
906,15704546335_10154647608226336,Who do you think won last night's debate: Donald J. Trump or Hillary Clinton?,fox
535,15704546335_10154716365256336,Bill O'Reilly responded to Hillary Clinton's answer on partial-birth abortions in the final presidential debate. What do you think?,fox
1391,15704546335_10154525385631336,"""She did it for greed and for power and for the almighty dollar.""In her Opening Statement last night, Judge Jeanine Pirro said it's now clear that Hillary Clinton used a private email server to ""hide her shady Clinton Foundation dealings."" ",fox
2977,15704546335_10154098522466336,Ted Cruz went after Donald J. Trump following #SuperTuesday victories in Texas and Oklahoma. Do you agree? More: ,fox
3506,15704546335_10153833177396336,"""If you're pathological, there's no cure for that... If you're a child molester, there's no cure for that.""Donald J. Trump told supporters in Iowa that Dr. Ben Carson has admitted having ""pathological"" issues, even bringing up child molesters in an attack on his Republican rival.",fox
2209,15704546335_10154306181126336,"At the National Rifle Association convention, Donald J. Trump said the Paris attacks may not have happened if people had guns to take down the terrorists. ",fox
1960,15704546335_10154379440411336,"""Every day we learn more about him, and every day it becomes clearer that he is just a small, insecure moneygrubber who doesn't care about anyone or anything that doesn't have the Trump name splashed all over it."" – Elizabeth Warren",fox
2479,15704546335_10154249649611336,"""The sooner they can drop out, the sooner we can turn our attention to Hillary."" – Eric Trump",fox
849,15704546335_10154658818316336,"Leaked audio recorded Hillary Clinton describing supporters of her top primary rival, Bernie Sanders, as ""living in their parents' basement"" and saying that they found ""political revolution"" appealing because many are stuck in low-wage jobs.",fox
953,15704546335_10154639174826336,"President Obama used a pseudonym when sending or receiving emails through the private server system Hillary Clinton used as secretary of state, according to nearly 200 pages of documents released Friday by the FBI.",fox
245,15704546335_10154768022921336,"In her Opening Statement last night, Judge Jeanine Pirro offered an impassioned contrast between Hillary Clinton and Donald J. Trump. ",fox
1553,15704546335_10154488539946336,"On ""Sunday Morning Futures,"" Eric Trump talked to Maria Bartiromo about his father's NATO policy.",fox
1195,15704546335_10154574577196336,Donald J. Trump speaks during a campaign rally.,fox
1092,15704546335_10154602490586336,Donald J. Trump's statement on the 15th anniversary of 9/11. #NeverForget,fox
3237,15704546335_10154016339756336,Governor Chris Christie went after Hillary Clinton during last night's Fox News-Google #GOPDebate.,fox
782,15704546335_10154673282711336,"Catherine Herridge explained that an unnamed State Department witness claims there was a deliberate effort to change the ""B-1"" code on several of Clinton's sensitive emails to ""B-5,"" which would essentially put them down the ""ultimate black hole.""",fox
3734,15704546335_10153613641261336,Do you agree with Donald J. Trump?,fox
699,15704546335_10154686759516336,"Donald J. Trump has been tweeting more and more the past few days and Tuesday morning he said that the ""shackles"" have been removed.",fox
3363,15704546335_10153958478436336,"Donald J. Trump declined to answer whether he would take military action to protect Saudi Arabia from Iran, saying ""I want to do what's right. I want to be unpredictable ... I want to protect, but I also want to be reimbursed for the protection."" ",fox
492,15704546335_10154724532036336,"""[Hillary Clinton] is the risky choice... She has failed over and over again.""Moments ago on ""Sunday Morning Futures,"" RNC Communications Director Sean Spicer explained why the Democratic nominee's record makes her a risky choice for president.",fox
847,15704546335_10154658620911336,"""[Alicia Machado] was accused of running a getaway car in a murder spree. She was accused of threatening to murder a Venezuelan judge.""This morning on ""FOX & Friends Weekend,"" Mollie Hemingway talked about the controversial pasts of both Hillary Clinton and former Miss Universe Alicia Machado.",fox
1529,15704546335_10154495203631336,"Greta Van Susteren: ""Do you think [Donald J. Trump] wants to be president?""Ivanka Trump: ""Absolutely. ‘It’s a very difficult job' would be almost the understatement of a century. But my father can't stand incompetence and he has a very clear and strong vision for...this country."" ",fox
1965,15704546335_10154375344901336,Published reports and figures provided by the Clinton Foundation on its website show the group has accepted millions from countries that prosecute and imprison gay people – and worse.,fox
2334,15704546335_10154275592551336,"Judge Jeanine Pirro on Hillary Clinton: ""Anyone who put the security of Americans at risk...should get jail."" ",fox
2501,15704546335_10154242618341336,Donald J. Trump said this morning that he does not agree with North Carolina passing a law on bathroom use by transgender people.He added that if Caitlyn Jenner visited Trump Tower she could use whichever bathroom she prefers. ,fox
3738,15704546335_10153607579941336,"Donald J. Trump said the U.S. economy is too closely tied to China's, and they're dragging the U.S. down with them.",fox
1321,15704546335_10154544412846336,Do you agree with Eric Trump?,fox
1924,15704546335_10154393368211336,"On Outnumbered Fox News, Stacey Dash asked why Hillary Clinton has not been indicted. ",fox
915,15704546335_10154646308161336,"Donald J. Trump to Hillary Clinton: ""No wonder you've been fighting ISIS your entire adult life."" #Debates2016",fox
972,15704546335_10154630794271336,Hillary Clinton weighed in on the recent officer-involved shootings in Tulsa and Charlotte.,fox
7,15704546335_10154796140646336,"Breaking News: Dr. Ben Carson has turned down consideration to be a part of Donald J. Trump's cabinet, Fox News confirms.",fox
1607,15704546335_10154479532881336,"""33,000 Americans die each year from gun violence.  That's 90 people a day.  Enough.""Empire creator Lee Daniels said that Hillary Clinton ""understands our right to bear guns, but wants to stop guns from getting into the wrong hands.""",fox
1558,15704546335_10154488478326336,"""[Hillary Clinton] didn’t even mention the real problems. She never once mentioned ISIS. She didn't mention radical Islamic terrorism”On ""Sunday Morning Futures,"" Eric Trump reacted to the Democratic National Convention.",fox
2792,15704546335_10154140166306336,"Donald J. Trump scored a win today in the Northern Mariana Islands' GOP caucus, taking all 9 delegates from the U.S. territory.",fox
2042,15704546335_10154349784086336,"“To all of those Bernie Sanders voters who have been left out in the cold by a rigged system of superdelegates, we welcome you with open arms.” – Donald J. TrumpMORE: ",fox
57,15704546335_10154787495091336,"""Figuring out how those undecided voters are going to break goes a long way to figuring out what may happen on Election Day,"" Adam Geller explained.",fox
1384,15704546335_10154525381236336,"Last night, Judge Jeanine Pirro declared that the Clintons are willing to sell anything to the highest bidder for money and power. ",fox
2059,15704546335_10154349319776336,Donald J. Trump said that his comments about the judge presiding over the Trump University case were misconstrued as an attack on people of Mexican heritage.Read the statement in full here: ,fox
3759,15704546335_10153587865001336,"""We have to start a process where we take back our country. Our country is going to hell.""Donald J. Trump told Bill O'Reilly tonight that illegal immigration is devastating our country and that something has to be done.",fox
2304,15704546335_10154282662831336,"""Donald J. Trump is going to be our nominee, and I’m going to support him because the alternative is an absolute disaster.”— Rick Perry",fox
2679,15704546335_10154188536796336,What do you think about Donald J. Trump's decision to no longer honor his pledge and support the eventual Republican nominee for president?,fox
2781,15704546335_10154141380691336,"Mike Huckabee spoke about the state of the presidential race following tonight's primaries, saying, ""Donald J. Trump gave a speech tonight like a candidate who is going somewhere. Hillary Clinton gave a speech like a person who's sorry she's been somewhere."" ",fox
2312,15704546335_10154282258626336,Rudy Giuliani believes Republicans in Congress need to unite behind Donald J. Trump because that's who the voters chose.Do you agree?,fox
2139,15704546335_10154322004561336,"""I have talked to a lot of people and of course they criticize me…They ask, 'Do you hate your race?’"" - Carlos Guerra, a 24-year-old son of Mexican immigrants, who supports Donald J. Trump",fox
221,15704546335_10154771385456336,"""Nice set of hair."" Donald J. Trump picked up a mask of his face during a rally in Florida.",fox
3548,15704546335_10153795232096336,Sen. Marco Rubio criticized the mainstream media during tonight’s #GOPDebate for their coverage of Hillary Clinton’s server scandal. ,fox
3490,15704546335_10153857128496336,Donald J. Trump said that waterboarding “is peanuts compared to what they do to us.”,fox
490,15704546335_10154724476376336,"""There are two systems of justice in America. One for everyday Americans. And one for Hillary Rodham Clinton."" – Judge Jeanine Pirro ",fox
